,Base_Gallons,Beginning_Gallons,Lifted_Gallons,Execution_Date,Supplier,product_name,Account_Type,terminal_name,period,batchno,change
0,0.0,,0.0,2015-06-01 02:06:32,MPC,87 7.8RVP 10%ET,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,1,0
1,0.0,,0.0,2015-06-01 05:06:29,MPC,87 7.8RVP 10%ET,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,2,1
2,0.0,,0.0,2015-06-01 07:06:25,MPC,87 7.8RVP 10%ET,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,3,1
3,0.0,,0.0,2015-06-01 09:06:27,MPC,87 7.8RVP 10%ET,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,4,1
4,0.0,,0.0,2015-06-01 11:06:53,MPC,87 7.8RVP 10%ET,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,5,1
5,0.0,,0.0,2015-06-01 13:06:29,MPC,87 7.8RVP 10%ET,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,6,1
6,0.0,,0.0,2015-06-01 15:06:35,MPC,87 7.8RVP 10%ET,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,7,1
7,0.0,,0.0,2015-06-01 17:07:01,MPC,87 7.8RVP 10%ET,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,8,1
8,0.0,,0.0,2015-06-01 19:06:27,MPC,87 7.8RVP 10%ET,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,9,1
9,0.0,,0.0,2015-06-01 22:06:34,MPC,87 7.8RVP 10%ET,280026 - MANSFIELD OIL CO OF GAINESVILLE INC - Wholesale,NASHVILLE TN (51 AVE) TERM,Daily,10,1
10,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,BTS Aurora,Daily,8,1
11,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,BTS Aurora,Daily,9,1
12,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,BTS Aurora,Daily,10,1
13,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Buckeye Clermont (Raceway),Daily,8,1
14,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Buckeye Clermont (Raceway),Daily,9,1
15,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Buckeye Clermont (Raceway),Daily,10,1
16,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Buckeye Columbus,Daily,8,1
17,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Buckeye Columbus,Daily,9,1
18,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Buckeye Columbus,Daily,10,1
19,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Buckeye Columbus South,Daily,8,1
20,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Buckeye Columbus South,Daily,9,1
21,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Buckeye Columbus South,Daily,10,1
22,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Buckeye Dayton,Daily,8,1
23,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Buckeye Dayton,Daily,9,1
24,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Buckeye Dayton,Daily,10,1
25,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Buckeye Detroit,Daily,8,1
26,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Buckeye Detroit,Daily,9,1
27,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Buckeye Detroit,Daily,10,1
28,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Buckeye Flint,Daily,8,1
29,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Buckeye Flint,Daily,9,1
30,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Buckeye Flint,Daily,10,1
31,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Buckeye Lima North,Daily,8,1
32,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Buckeye Lima North,Daily,9,1
33,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Buckeye Lima North,Daily,10,1
34,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Buckeye Lima South,Daily,8,1
35,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Buckeye Lima South,Daily,9,1
36,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Buckeye Lima South,Daily,10,1
37,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Buckeye Pittsburgh,Daily,8,1
38,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Buckeye Pittsburgh,Daily,9,1
39,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Buckeye Pittsburgh,Daily,10,1
40,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Buckeye Taylor East,Daily,8,1
41,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Buckeye Taylor East,Daily,9,1
42,,,,2015-06-01 22:03:44,Husky,87 Gas,Rack,Buckeye Taylor East,Daily,10,1
43,,,,2015-06-01 17:03:56,Husky,87 Gas,Rack,Citgo Columbus,Daily,8,1
44,,,,2015-06-01 19:03:37,Husky,87 Gas,Rack,Citgo Columbus,Daily,9,1
