,Base_Gallons,Beginning_Gallons,Lifted_Gallons,Execution_Date,Supplier,product_name,Account_Type,terminal_name,period,batchno,change
0,34615.0,34615.0,0.0,2015-06-01 02:03:32,Husky,87 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,1,0
1,34615.0,34615.0,0.0,2015-06-01 05:03:34,Husky,87 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,2,0
2,34615.0,34615.0,0.0,2015-06-01 07:03:35,Husky,87 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,3,0
3,34615.0,34615.0,0.0,2015-06-01 09:03:37,Husky,87 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,4,0
4,34615.0,34615.0,8500.0,2015-06-01 11:03:53,Husky,87 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,5,1
5,34615.0,34615.0,8500.0,2015-06-01 13:03:39,Husky,87 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,6,0
6,34615.0,34615.0,8500.0,2015-06-01 15:03:40,Husky,87 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,7,0
7,34615.0,34615.0,8500.0,2015-06-01 17:03:56,Husky,87 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,8,0
8,34615.0,34615.0,8500.0,2015-06-01 19:03:37,Husky,87 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,9,0
9,34615.0,34615.0,8500.0,2015-06-01 22:03:44,Husky,87 Gas,MANSFIELD GAS AT AKRON,MANSFIELD GAS CONTRACT- AKRON,Weekly,10,0
10,0.0,0.0,0.0,2015-06-01 02:01:07,Murphy,87 UNL CONV,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,1,1
11,0.0,0.0,0.0,2015-06-01 05:01:09,Murphy,87 UNL CONV,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,2,0
12,0.0,0.0,0.0,2015-06-01 07:01:05,Murphy,87 UNL CONV,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,3,0
13,0.0,0.0,0.0,2015-06-01 09:01:07,Murphy,87 UNL CONV,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,4,0
14,0.0,0.0,0.0,2015-06-01 11:01:08,Murphy,87 UNL CONV,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,5,0
15,0.0,0.0,0.0,2015-06-01 13:01:09,Murphy,87 UNL CONV,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,6,0
16,0.0,0.0,0.0,2015-06-01 15:01:05,Murphy,87 UNL CONV,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,7,0
17,0.0,0.0,0.0,2015-06-01 17:01:06,Murphy,87 UNL CONV,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,8,0
18,0.0,0.0,0.0,2015-06-01 19:01:07,Murphy,87 UNL CONV,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,9,0
19,0.0,0.0,0.0,2015-06-01 22:01:09,Murphy,87 UNL CONV,Unbranded,Lookout Mtn GA (409)-Transmontaigne,Weekly,10,0
