,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Available,200%,Channel: 50 - Commercial,68333,136666,CHESAPEAKE VA - BUCKEYE (PLANT 9483),107615,29051,0,0,05/02 00:00:00 EDT,68333,REGULAR,Daily,11,2015-05-01 22:01:06,1234642,2015-05-01 00:00:00,5,1,68333,68333,136666,136666,107615,107615
2015-05-02,Available,200%,Channel: 50 - Commercial,68333,136666,CHESAPEAKE VA - BUCKEYE (PLANT 9483),73022,63644,0,0,05/03 00:00:00 EDT,68333,REGULAR,Daily,10,2015-05-02 22:01:05,1273040,2015-05-02 00:00:00,5,2,136666,68333,273332,136666,180637,90318
2015-05-03,Available,200%,Channel: 50 - Commercial,68333,136666,CHESAPEAKE VA - BUCKEYE (PLANT 9483),28710,107956,0,0,05/04 00:00:00 EDT,68333,REGULAR,Daily,9,2015-05-03 22:01:08,1310577,2015-05-03 00:00:00,5,3,204999,68333,409998,136666,209347,69782
2015-05-04,Available,200%,Channel: 50 - Commercial,68333,136666,CHESAPEAKE VA - BUCKEYE (PLANT 9483),90125,46541,0,0,05/05 00:00:00 EDT,68333,REGULAR,Daily,10,2015-05-04 22:01:07,1348503,2015-05-04 00:00:00,5,4,273332,68333,546664,136666,299472,74868
2015-05-05,Available,100%,Channel: 50 - Commercial,68333,68333,CHESAPEAKE VA - BUCKEYE (PLANT 9483),67699,634,0,0,05/06 00:00:00 EDT,67742,REGULAR,Daily,10,2015-05-05 22:01:06,1387149,2015-05-05 00:00:00,5,5,341665,68333,614997,122999,367171,73434
2015-05-06,Out,100%,Channel: 50 - Commercial,67742,67742,CHESAPEAKE VA - BUCKEYE (PLANT 9483),67800,-58,0,0,05/07 00:00:00 EDT,67742,REGULAR,Daily,12,2015-05-06 22:01:04,1429276,2015-05-06 00:00:00,5,6,409407,68234,682739,113789,434971,72495
2015-05-07,Out,100%,Channel: 50 - Commercial,67742,67742,CHESAPEAKE VA - BUCKEYE (PLANT 9483),69012,-1270,0,0,05/08 00:00:00 EDT,67742,REGULAR,Daily,10,2015-05-07 22:01:09,1469426,2015-05-07 00:00:00,5,7,477149,68164,750481,107211,503983,71997
2015-05-08,Out,100%,Channel: 50 - Commercial,67742,67742,CHESAPEAKE VA - BUCKEYE (PLANT 9483),68610,-868,0,0,05/09 00:00:00 EDT,67742,REGULAR,Daily,12,2015-05-08 22:00:09,1509777,2015-05-08 00:00:00,5,8,544891,68111,818223,102277,572593,71574
2015-05-09,Out,100%,Channel: 50 - Commercial,67742,67742,CHESAPEAKE VA - BUCKEYE (PLANT 9483),68510,-768,0,0,05/10 00:00:00 EDT,67742,REGULAR,Daily,9,2015-05-09 22:00:09,1556360,2015-05-09 00:00:00,5,9,612633,68070,885965,98440,641103,71233
2015-05-10,Available,100%,Channel: 50 - Commercial,67742,67742,CHESAPEAKE VA - BUCKEYE (PLANT 9483),0,67742,0,0,05/11 00:00:00 EDT,67742,REGULAR,Daily,2,2015-05-10 07:00:08,1566740,2015-05-10 00:00:00,5,10,680375,68037,953707,95370,641103,64110
2015-05-11,Out,100%,Channel: 50 - Commercial,67742,67742,CHESAPEAKE VA - BUCKEYE (PLANT 9483),71021,-3279,0,0,05/12 00:00:00 EDT,67742,REGULAR,Daily,10,2015-05-11 22:00:09,1631718,2015-05-11 00:00:00,5,11,748117,68010,1021449,92859,712124,64738
2015-05-12,Out,100%,Channel: 50 - Commercial,67742,67742,CHESAPEAKE VA - BUCKEYE (PLANT 9483),72800,-5058,0,0,05/13 00:00:00 EDT,67742,REGULAR,Daily,10,2015-05-12 22:00:10,1670402,2015-05-12 00:00:00,5,12,815859,67988,1089191,90765,784924,65410
2015-05-13,Available,200%,Channel: 50 - Commercial,67742,135484,CHESAPEAKE VA - BUCKEYE (PLANT 9483),75400,60084,0,0,05/14 00:00:00 EDT,67742,REGULAR,Daily,10,2015-05-13 22:00:06,1712962,2015-05-13 00:00:00,5,13,883601,67969,1224675,94205,860324,66178
2015-05-14,Available,200%,Channel: 50 - Commercial,67742,135484,CHESAPEAKE VA - BUCKEYE (PLANT 9483),66404,69080,0,0,05/15 00:00:00 EDT,67742,REGULAR,Daily,9,2015-05-14 20:00:09,1747977,2015-05-14 00:00:00,5,14,951343,67953,1360159,97154,926728,66194
2015-05-15,Available,200%,Channel: 50 - Commercial,67742,135484,CHESAPEAKE VA - BUCKEYE (PLANT 9483),86512,48972,0,0,05/16 00:00:00 EDT,67742,REGULAR,Daily,11,2015-05-15 22:00:09,1788097,2015-05-15 00:00:00,5,15,1019085,67939,1495643,99709,1013240,67549
