,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-01 00:00:00,5,1,0,0,0,0,0,0
2015-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-02 00:00:00,5,2,0,0,0,0,0,0
2015-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-03 00:00:00,5,3,0,0,0,0,0,0
2015-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-04 00:00:00,5,4,0,0,0,0,0,0
2015-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-05 00:00:00,5,5,0,0,0,0,0,0
2015-05-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-06 00:00:00,5,6,0,0,0,0,0,0
2015-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-07 00:00:00,5,7,0,0,0,0,0,0
2015-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-08 00:00:00,5,8,0,0,0,0,0,0
2015-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-09 00:00:00,5,9,0,0,0,0,0,0
2015-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-10 00:00:00,5,10,0,0,0,0,0,0
2015-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-11 00:00:00,5,11,0,0,0,0,0,0
2015-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-12 00:00:00,5,12,0,0,0,0,0,0
2015-05-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-13 00:00:00,5,13,0,0,0,0,0,0
2015-05-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-14 00:00:00,5,14,0,0,0,0,0,0
2015-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-15 00:00:00,5,15,0,0,0,0,0,0
2015-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-16 00:00:00,5,16,0,0,0,0,0,0
2015-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-17 00:00:00,5,17,0,0,0,0,0,0
2015-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-18 00:00:00,5,18,0,0,0,0,0,0
2015-05-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-19 00:00:00,5,19,0,0,0,0,0,0
2015-05-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-20 00:00:00,5,20,0,0,0,0,0,0
2015-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-21 00:00:00,5,21,0,0,0,0,0,0
2015-05-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-22 00:00:00,5,22,0,0,0,0,0,0
2015-05-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-23 00:00:00,5,23,0,0,0,0,0,0
2015-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-24 00:00:00,5,24,0,0,0,0,0,0
2015-05-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-25 00:00:00,5,25,0,0,0,0,0,0
2015-05-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-26 00:00:00,5,26,0,0,0,0,0,0
2015-05-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-27 00:00:00,5,27,0,0,0,0,0,0
2015-05-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-28 00:00:00,5,28,0,0,0,0,0,0
2015-05-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-29 00:00:00,5,29,0,0,0,0,0,0
2015-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-30 00:00:00,5,30,0,0,0,0,0,0
2015-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-31 00:00:00,5,31,0,0,0,0,0,0
