,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Available,110%,Channel: 50 - Commercial,478333,526166,CHESAPEAKE VA - BUCKEYE (PLANT 9483),228766,297400,0,0,05/06 00:00:00 EDT,474194,REGULAR,Weekly,11,2015-05-01 22:01:06,1234645,2015-05-01 00:00:00,5,1,478333,478333,526166,526166,228766,228766
2015-05-02,Available,110%,Channel: 50 - Commercial,478333,526166,CHESAPEAKE VA - BUCKEYE (PLANT 9483),301788,224378,0,0,05/06 00:00:00 EDT,474194,REGULAR,Weekly,10,2015-05-02 22:01:05,1273041,2015-05-02 00:00:00,5,2,956666,478333,1052332,526166,530554,265277
2015-05-03,Available,110%,Channel: 50 - Commercial,478333,526166,CHESAPEAKE VA - BUCKEYE (PLANT 9483),330498,195668,0,0,05/06 00:00:00 EDT,474194,REGULAR,Weekly,9,2015-05-03 22:01:08,1310578,2015-05-03 00:00:00,5,3,1434999,478333,1578498,526166,861052,287017
2015-05-04,Available,110%,Channel: 50 - Commercial,478333,526166,CHESAPEAKE VA - BUCKEYE (PLANT 9483),420623,105543,0,0,05/06 00:00:00 EDT,474194,REGULAR,Weekly,10,2015-05-04 22:01:07,1348504,2015-05-04 00:00:00,5,4,1913332,478333,2104664,526166,1281675,320418
2015-05-05,Available,110%,Channel: 50 - Commercial,478333,526166,CHESAPEAKE VA - BUCKEYE (PLANT 9483),488322,37844,0,0,05/06 00:00:00 EDT,474194,REGULAR,Weekly,10,2015-05-05 22:01:06,1387150,2015-05-05 00:00:00,5,5,2391665,478333,2630830,526166,1769997,353999
2015-05-06,Out,110%,Channel: 50 - Commercial,474194,521613,CHESAPEAKE VA - BUCKEYE (PLANT 9483),67800,453813,0,0,05/13 00:00:00 EDT,474194,REGULAR,Weekly,12,2015-05-06 22:01:04,1429277,2015-05-06 00:00:00,5,6,2865859,477643,3152443,525407,1837797,306299
2015-05-07,Out,110%,Channel: 50 - Commercial,474194,521613,CHESAPEAKE VA - BUCKEYE (PLANT 9483),136812,384801,0,0,05/13 00:00:00 EDT,474194,REGULAR,Weekly,10,2015-05-07 22:01:09,1469427,2015-05-07 00:00:00,5,7,3340053,477150,3674056,524865,1974609,282087
2015-05-08,Out,110%,Channel: 50 - Commercial,474194,521613,CHESAPEAKE VA - BUCKEYE (PLANT 9483),205422,316191,0,0,05/13 00:00:00 EDT,474194,REGULAR,Weekly,12,2015-05-08 22:00:09,1509778,2015-05-08 00:00:00,5,8,3814247,476780,4195669,524458,2180031,272503
2015-05-09,Out,110%,Channel: 50 - Commercial,474194,521613,CHESAPEAKE VA - BUCKEYE (PLANT 9483),273932,247681,0,0,05/13 00:00:00 EDT,474194,REGULAR,Weekly,9,2015-05-09 22:00:09,1556361,2015-05-09 00:00:00,5,9,4288441,476493,4717282,524142,2453963,272662
2015-05-10,Available,110%,Channel: 50 - Commercial,474194,521613,CHESAPEAKE VA - BUCKEYE (PLANT 9483),273932,247681,0,0,05/13 00:00:00 EDT,474194,REGULAR,Weekly,2,2015-05-10 07:00:08,1566741,2015-05-10 00:00:00,5,10,4762635,476263,5238895,523889,2727895,272789
2015-05-11,Out,110%,Channel: 50 - Commercial,474194,521613,CHESAPEAKE VA - BUCKEYE (PLANT 9483),369359,152254,0,0,05/13 00:00:00 EDT,474194,REGULAR,Weekly,10,2015-05-11 22:00:09,1631719,2015-05-11 00:00:00,5,11,5236829,476075,5760508,523682,3097254,281568
2015-05-12,Out,110%,Channel: 50 - Commercial,474194,521613,CHESAPEAKE VA - BUCKEYE (PLANT 9483),442159,79454,0,0,05/13 00:00:00 EDT,474194,REGULAR,Weekly,10,2015-05-12 22:00:10,1670403,2015-05-12 00:00:00,5,12,5711023,475918,6282121,523510,3539413,294951
2015-05-13,Available,100%,Channel: 50 - Commercial,474194,474194,CHESAPEAKE VA - BUCKEYE (PLANT 9483),75400,398794,0,0,05/20 00:00:00 EDT,474194,REGULAR,Weekly,10,2015-05-13 22:00:06,1712963,2015-05-13 00:00:00,5,13,6185217,475785,6756315,519716,3614813,278062
2015-05-14,Available,100%,Channel: 50 - Commercial,474194,474194,CHESAPEAKE VA - BUCKEYE (PLANT 9483),141804,332390,0,0,05/20 00:00:00 EDT,474194,REGULAR,Weekly,9,2015-05-14 20:00:09,1747978,2015-05-14 00:00:00,5,14,6659411,475672,7230509,516464,3756617,268329
2015-05-15,Available,100%,Channel: 50 - Commercial,474194,474194,CHESAPEAKE VA - BUCKEYE (PLANT 9483),228316,245878,0,0,05/20 00:00:00 EDT,474194,REGULAR,Weekly,11,2015-05-15 22:00:09,1788098,2015-05-15 00:00:00,5,15,7133605,475573,7704703,513646,3984933,265662
2015-05-16,Available,100%,Channel: 50 - Commercial,474194,474194,CHESAPEAKE VA - BUCKEYE (PLANT 9483),298727,175467,0,0,05/20 00:00:00 EDT,474194,REGULAR,Weekly,9,2015-05-16 22:00:11,1827402,2015-05-16 00:00:00,5,16,7607799,475487,8178897,511181,4283660,267728
