,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-01 00:00:00,5,1,0,0,0,0,0,0
2015-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-02 00:00:00,5,2,0,0,0,0,0,0
2015-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-03 00:00:00,5,3,0,0,0,0,0,0
2015-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-04 00:00:00,5,4,0,0,0,0,0,0
2015-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-05 00:00:00,5,5,0,0,0,0,0,0
2015-05-06,Available,150%,Contract CHV,272,408,1102 N AUGUSTA SC #2 TRM K MORGAN,0,408,0,0,05/07 00:00:00 EDT,272,GASOLINE,Daily,1,2015-05-06 00:40:00,1391038,2015-05-06 00:00:00,5,6,272,45,408,68,0,0
2015-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-07 00:00:00,5,7,272,38,408,58,0,0
2015-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-08 00:00:00,5,8,272,34,408,51,0,0
2015-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-09 00:00:00,5,9,272,30,408,45,0,0
2015-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-10 00:00:00,5,10,272,27,408,40,0,0
2015-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-11 00:00:00,5,11,272,24,408,37,0,0
2015-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-12 00:00:00,5,12,272,22,408,34,0,0
2015-05-13,Available,150%,Contract CHV,272,408,1102 N AUGUSTA SC #2 TRM K MORGAN,0,408,0,0,05/14 00:00:00 EDT,272,GASOLINE,Daily,2,2015-05-13 04:35:00,1678959,2015-05-13 00:00:00,5,13,544,41,816,62,0,0
