,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Available,200%,MANSFIELD OIL COMPANY : AC5246494,56,112,3355 CHATTANOOGA TN TRM K MORGAN,0,112,0,0,05/02 00:00:00 EDT,56,DIESEL #2,Daily,11,2015-05-01 22:12:11,1236566,2015-05-01 00:00:00,5,1,56,56,112,112,0,0
2015-05-02,Available,200%,MANSFIELD OIL COMPANY : AC5246494,56,112,3355 CHATTANOOGA TN TRM K MORGAN,0,112,0,0,05/03 00:00:00 EDT,56,DIESEL #2,Daily,10,2015-05-02 22:12:00,1275204,2015-05-02 00:00:00,5,2,112,56,224,112,0,0
2015-05-03,Available,200%,MANSFIELD OIL COMPANY : AC5246494,56,112,3355 CHATTANOOGA TN TRM K MORGAN,0,112,0,0,05/04 00:00:00 EDT,56,DIESEL #2,Daily,10,2015-05-03 22:12:23,1312254,2015-05-03 00:00:00,5,3,168,56,336,112,0,0
2015-05-04,Available,150%,MANSFIELD OIL COMPANY : AC5246494,56,84,3355 CHATTANOOGA TN TRM K MORGAN,0,84,0,0,05/05 00:00:00 EDT,56,DIESEL #2,Daily,10,2015-05-04 22:12:18,1350636,2015-05-04 00:00:00,5,4,224,56,420,105,0,0
2015-05-05,Available,150%,MANSFIELD OIL COMPANY : AC5246494,56,84,3355 CHATTANOOGA TN TRM K MORGAN,0,84,0,0,05/06 00:00:00 EDT,56,DIESEL #2,Daily,10,2015-05-05 22:12:36,1388805,2015-05-05 00:00:00,5,5,280,56,504,100,0,0
2015-05-06,Available,150%,MANSFIELD OIL COMPANY : AC5246494,56,84,3355 CHATTANOOGA TN TRM K MORGAN,0,84,0,0,05/07 00:00:00 EDT,56,DIESEL #2,Daily,11,2015-05-06 22:12:29,1431341,2015-05-06 00:00:00,5,6,336,56,588,98,0,0
2015-05-07,Available,150%,MANSFIELD OIL COMPANY : AC5246494,56,84,3355 CHATTANOOGA TN TRM K MORGAN,0,84,0,0,05/08 00:00:00 EDT,56,DIESEL #2,Daily,10,2015-05-07 22:12:24,1471583,2015-05-07 00:00:00,5,7,392,56,672,96,0,0
2015-05-08,Available,150%,MANSFIELD OIL COMPANY : AC5246494,56,84,3355 CHATTANOOGA TN TRM K MORGAN,0,84,0,0,05/09 00:00:00 EDT,56,DIESEL #2,Daily,12,2015-05-08 22:11:29,1511461,2015-05-08 00:00:00,5,8,448,56,756,94,0,0
2015-05-09,Available,150%,MANSFIELD OIL COMPANY : AC5246494,56,84,3355 CHATTANOOGA TN TRM K MORGAN,0,84,0,0,05/10 00:00:00 EDT,56,DIESEL #2,Daily,12,2015-05-09 22:11:29,1558040,2015-05-09 00:00:00,5,9,504,56,840,93,0,0
2015-05-10,Available,150%,MANSFIELD OIL COMPANY : AC5246494,56,84,3355 CHATTANOOGA TN TRM K MORGAN,0,84,0,0,05/11 00:00:00 EDT,56,DIESEL #2,Daily,11,2015-05-10 22:11:27,1593578,2015-05-10 00:00:00,5,10,560,56,924,92,0,0
