,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-01 00:00:00,5,1,0,0,0,0,0,0
2015-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-02 00:00:00,5,2,0,0,0,0,0,0
2015-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-03 00:00:00,5,3,0,0,0,0,0,0
2015-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-04 00:00:00,5,4,0,0,0,0,0,0
2015-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-05 00:00:00,5,5,0,0,0,0,0,0
2015-05-06,Available,125%,Contract CHV,966,1208,3369 MONTGOMERY AL TRM VECENERGY,0,1208,0,0,05/06 00:00:00 CDT,966,GASOLINE,Daily,1,2015-05-06 00:40:00,1391074,2015-05-06 00:00:00,5,6,966,161,1208,201,0,0
2015-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-07 00:00:00,5,7,966,138,1208,172,0,0
2015-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-08 00:00:00,5,8,966,120,1208,151,0,0
2015-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-09 00:00:00,5,9,966,107,1208,134,0,0
2015-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-10 00:00:00,5,10,966,96,1208,120,0,0
2015-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-11 00:00:00,5,11,966,87,1208,109,0,0
2015-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-12 00:00:00,5,12,966,80,1208,100,0,0
2015-05-13,Available,150%,Contract CHV,966,1449,3369 MONTGOMERY AL TRM VECENERGY,0,1449,0,0,05/14 00:00:00 CDT,966,GASOLINE,Daily,2,2015-05-13 04:35:00,1678995,2015-05-13 00:00:00,5,13,1932,148,2657,204,0,0
