,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-01 00:00:00,5,1,0,0,0,0,0,0
2015-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-02 00:00:00,5,2,0,0,0,0,0,0
2015-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-03 00:00:00,5,3,0,0,0,0,0,0
2015-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-04 00:00:00,5,4,0,0,0,0,0,0
2015-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-05 00:00:00,5,5,0,0,0,0,0,0
2015-05-06,Available,100%,Contract CHV,1596,1596,3377 ALBUQUERQUE NM TRM VECENERGY,0,1596,0,0,05/06 00:00:00 PDT,1596,GASOLINE,Daily,1,2015-05-06 00:40:00,1391079,2015-05-06 00:00:00,5,6,1596,266,1596,266,0,0
2015-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-07 00:00:00,5,7,1596,228,1596,228,0,0
2015-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-08 00:00:00,5,8,1596,199,1596,199,0,0
2015-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-09 00:00:00,5,9,1596,177,1596,177,0,0
2015-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-10 00:00:00,5,10,1596,159,1596,159,0,0
2015-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-11 00:00:00,5,11,1596,145,1596,145,0,0
2015-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-12 00:00:00,5,12,1596,133,1596,133,0,0
2015-05-13,Available,100%,Contract CHV,1596,1596,3377 ALBUQUERQUE NM TRM VECENERGY,0,1596,0,0,05/14 00:00:00 PDT,1596,GASOLINE,Daily,2,2015-05-13 04:35:00,1679000,2015-05-13 00:00:00,5,13,3192,245,3192,245,0,0
