,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Available,110%,MANSFIELD OIL COMPANY : CHV5246494,174260,191686,1006 SACRAMENTO CA TRM CHEVRON,23893,167793,0,0,06/01 00:00:00 PDT,174260,DIESEL #2,Monthly,11,2015-05-01 22:12:11,1236487,2015-05-01 00:00:00,5,174260,174260,191686,191686,23893,23893
2015-05-02,Available,110%,MANSFIELD OIL COMPANY : CHV5246494,174260,191686,1006 SACRAMENTO CA TRM CHEVRON,23893,167793,0,0,06/01 00:00:00 PDT,174260,DIESEL #2,Monthly,10,2015-05-02 22:12:00,1275125,2015-05-02 00:00:00,5,348520,174260,383372,191686,47786,23893
2015-05-03,Available,110%,MANSFIELD OIL COMPANY : CHV5246494,174260,191686,1006 SACRAMENTO CA TRM CHEVRON,23893,167793,0,0,06/01 00:00:00 PDT,174260,DIESEL #2,Monthly,10,2015-05-03 22:12:23,1312175,2015-05-03 00:00:00,5,522780,174260,575058,191686,71679,23893
2015-05-04,Available,110%,MANSFIELD OIL COMPANY : CHV5246494,174260,191686,1006 SACRAMENTO CA TRM CHEVRON,31387,160299,15000,7506,06/01 00:00:00 PDT,174260,DIESEL #2,Monthly,10,2015-05-04 22:12:18,1350557,2015-05-04 00:00:00,5,697040,174260,766744,191686,103066,25766
2015-05-05,Available,110%,MANSFIELD OIL COMPANY : CHV5246494,174260,191686,1006 SACRAMENTO CA TRM CHEVRON,38785,152901,7500,102,06/01 00:00:00 PDT,174260,DIESEL #2,Monthly,10,2015-05-05 22:12:36,1388726,2015-05-05 00:00:00,5,871300,174260,958430,191686,141851,28370
2015-05-06,Available,110%,MANSFIELD OIL COMPANY : CHV5246494,174260,191686,1006 SACRAMENTO CA TRM CHEVRON,46279,145407,0,0,06/01 00:00:00 PDT,174260,DIESEL #2,Monthly,11,2015-05-06 22:12:29,1431262,2015-05-06 00:00:00,5,1045560,174260,1150116,191686,188130,31355
2015-05-07,Available,110%,MANSFIELD OIL COMPANY : CHV5246494,174260,191686,1006 SACRAMENTO CA TRM CHEVRON,53777,137909,0,0,06/01 00:00:00 PDT,174260,DIESEL #2,Monthly,10,2015-05-07 22:12:24,1471504,2015-05-07 00:00:00,5,1219820,174260,1341802,191686,241907,34558
2015-05-08,Available,110%,MANSFIELD OIL COMPANY : CHV5246494,174260,191686,1006 SACRAMENTO CA TRM CHEVRON,53777,137909,0,0,06/01 00:00:00 PDT,174260,DIESEL #2,Monthly,12,2015-05-08 22:11:29,1511382,2015-05-08 00:00:00,5,1394080,174260,1533488,191686,295684,36960
2015-05-09,Available,110%,MANSFIELD OIL COMPANY : CHV5246494,174260,191686,1006 SACRAMENTO CA TRM CHEVRON,63370,128316,0,0,06/01 00:00:00 PDT,174260,DIESEL #2,Monthly,12,2015-05-09 22:11:29,1557961,2015-05-09 00:00:00,5,1568340,174260,1725174,191686,359054,39894
2015-05-10,Available,110%,MANSFIELD OIL COMPANY : CHV5246494,174260,191686,1006 SACRAMENTO CA TRM CHEVRON,63370,128316,0,0,06/01 00:00:00 PDT,174260,DIESEL #2,Monthly,11,2015-05-10 22:11:27,1593499,2015-05-10 00:00:00,5,1742600,174260,1916860,191686,422424,42242
