,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Out,125%,MANSFIELD OIL COMPANY : CHV5246494,39349,49186,1006 SACRAMENTO CA TRM CHEVRON,54302,-5116,0,0,05/06 00:00:00 PDT,39349,DIESEL #2,Weekly,11,2015-05-01 22:12:11,1236486,2015-05-01 00:00:00,5,39349,39349,49186,49186,54302,54302
2015-05-02,Out,125%,MANSFIELD OIL COMPANY : CHV5246494,39349,49186,1006 SACRAMENTO CA TRM CHEVRON,54302,-5116,0,0,05/06 00:00:00 PDT,39349,DIESEL #2,Weekly,10,2015-05-02 22:12:00,1275124,2015-05-02 00:00:00,5,78698,39349,98372,49186,108604,54302
2015-05-03,Out,125%,MANSFIELD OIL COMPANY : CHV5246494,39349,49186,1006 SACRAMENTO CA TRM CHEVRON,54302,-5116,0,0,05/06 00:00:00 PDT,39349,DIESEL #2,Weekly,10,2015-05-03 22:12:23,1312174,2015-05-03 00:00:00,5,118047,39349,147558,49186,162906,54302
2015-05-04,Out,125%,MANSFIELD OIL COMPANY : CHV5246494,39349,49186,1006 SACRAMENTO CA TRM CHEVRON,61796,-12610,15000,7506,05/06 00:00:00 PDT,39349,DIESEL #2,Weekly,10,2015-05-04 22:12:18,1350556,2015-05-04 00:00:00,5,157396,39349,196744,49186,224702,56175
2015-05-05,Out,125%,MANSFIELD OIL COMPANY : CHV5246494,39349,49186,1006 SACRAMENTO CA TRM CHEVRON,69194,-20008,7500,102,05/06 00:00:00 PDT,39349,DIESEL #2,Weekly,10,2015-05-05 22:12:36,1388725,2015-05-05 00:00:00,5,196745,39349,245930,49186,293896,58779
2015-05-06,Available,125%,MANSFIELD OIL COMPANY : CHV5246494,39349,49186,1006 SACRAMENTO CA TRM CHEVRON,7494,41692,0,0,05/13 00:00:00 PDT,39349,DIESEL #2,Weekly,11,2015-05-06 22:12:29,1431261,2015-05-06 00:00:00,5,236094,39349,295116,49186,301390,50231
2015-05-07,Available,125%,MANSFIELD OIL COMPANY : CHV5246494,39349,49186,1006 SACRAMENTO CA TRM CHEVRON,14992,34194,0,0,05/13 00:00:00 PDT,39349,DIESEL #2,Weekly,10,2015-05-07 22:12:24,1471503,2015-05-07 00:00:00,5,275443,39349,344302,49186,316382,45197
2015-05-08,Available,125%,MANSFIELD OIL COMPANY : CHV5246494,39349,49186,1006 SACRAMENTO CA TRM CHEVRON,14992,34194,0,0,05/13 00:00:00 PDT,39349,DIESEL #2,Weekly,12,2015-05-08 22:11:29,1511381,2015-05-08 00:00:00,5,314792,39349,393488,49186,331374,41421
2015-05-09,Available,125%,MANSFIELD OIL COMPANY : CHV5246494,39349,49186,1006 SACRAMENTO CA TRM CHEVRON,24585,24601,0,0,05/13 00:00:00 PDT,39349,DIESEL #2,Weekly,12,2015-05-09 22:11:29,1557960,2015-05-09 00:00:00,5,354141,39349,442674,49186,355959,39551
2015-05-10,Available,125%,MANSFIELD OIL COMPANY : CHV5246494,39349,49186,1006 SACRAMENTO CA TRM CHEVRON,24585,24601,0,0,05/13 00:00:00 PDT,39349,DIESEL #2,Weekly,11,2015-05-10 22:11:27,1593498,2015-05-10 00:00:00,5,393490,39349,491860,49186,380544,38054
