,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-01 00:00:00,5,1,0,0,0,0,0,0
2015-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-02 00:00:00,5,2,0,0,0,0,0,0
2015-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-03 00:00:00,5,3,0,0,0,0,0,0
2015-05-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-04 00:00:00,5,4,0,0,0,0,0,0
2015-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-05 00:00:00,5,5,0,0,0,0,0,0
2015-05-06,Available,110%,Contract CHV,1903,2093,1102 N AUGUSTA SC #2 TRM K MORGAN,0,2093,0,0,05/13 00:00:00 EDT,1903,GASOLINE,Weekly,1,2015-05-06 00:40:00,1391039,2015-05-06 00:00:00,5,6,1903,317,2093,348,0,0
2015-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-07 00:00:00,5,7,1903,271,2093,299,0,0
2015-05-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-08 00:00:00,5,8,1903,237,2093,261,0,0
2015-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-09 00:00:00,5,9,1903,211,2093,232,0,0
2015-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-10 00:00:00,5,10,1903,190,2093,209,0,0
2015-05-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-11 00:00:00,5,11,1903,173,2093,190,0,0
2015-05-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-12 00:00:00,5,12,1903,158,2093,174,0,0
2015-05-13,Available,110%,Contract CHV,1903,2093,1102 N AUGUSTA SC #2 TRM K MORGAN,0,2093,0,0,05/20 00:00:00 EDT,1903,GASOLINE,Weekly,2,2015-05-13 04:35:00,1678960,2015-05-13 00:00:00,5,13,3806,292,4186,322,0,0
