,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-06-01,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,26094,-5260,,,06/02 00:01:00 CDT,,PRM,Daily,10,2015-06-01 22:01:09,2446696,2015-06-01 00:00:00,6,1,16667,16667,20834,20834,26094,26094
2015-06-02,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,36921,-16087,7000.0,-1299.0,06/03 00:01:00 CDT,,PRM,Daily,10,2015-06-02 22:01:07,2485738,2015-06-02 00:00:00,6,2,33334,16667,41668,20834,63015,31507
2015-06-03,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,9698,11136,,,06/04 00:01:00 CDT,,PRM,Daily,10,2015-06-03 22:01:09,2523699,2015-06-03 00:00:00,6,3,50001,16667,62502,20834,72713,24237
2015-06-04,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,35606,-14772,7000.0,-1600.0,06/05 00:01:00 CDT,,PRM,Daily,10,2015-06-04 22:01:07,2562242,2015-06-04 00:00:00,6,4,66668,16667,83336,20834,108319,27079
2015-06-05,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,26007,-5173,,,06/06 00:01:00 CDT,,PRM,Daily,11,2015-06-05 22:01:05,2606246,2015-06-05 00:00:00,6,5,83335,16667,104170,20834,134326,26865
2015-06-06,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,13699,7135,,,06/07 00:01:00 CDT,,PRM,Daily,10,2015-06-06 22:01:11,2643458,2015-06-06 00:00:00,6,6,100002,16667,125004,20834,148025,24670
2015-06-07,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,17423,3411,,,06/08 00:01:00 CDT,,PRM,Daily,10,2015-06-07 22:01:06,2679034,2015-06-07 00:00:00,6,7,116669,16667,145838,20834,165448,23635
2015-06-08,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,26095,-5261,,,06/09 00:01:00 CDT,,PRM,Daily,10,2015-06-08 22:01:04,2717481,2015-06-08 00:00:00,6,8,133336,16667,166672,20834,191543,23942
2015-06-09,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,11220,9614,,,06/10 00:01:00 CDT,,PRM,Daily,10,2015-06-09 22:01:08,2756055,2015-06-09 00:00:00,6,9,150003,16667,187506,20834,202763,22529
2015-06-10,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,17300,3534,,,06/11 00:01:00 CDT,,PRM,Daily,10,2015-06-10 22:01:07,2794787,2015-06-10 00:00:00,6,10,166670,16667,208340,20834,220063,22006
2015-06-11,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,10699,10135,,,06/12 00:01:00 CDT,,PRM,Daily,10,2015-06-11 22:01:05,2834572,2015-06-11 00:00:00,6,11,183337,16667,229174,20834,230762,20978
2015-06-12,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,17402,3432,,,06/13 00:01:00 CDT,,PRM,Daily,10,2015-06-12 22:01:03,2872368,2015-06-12 00:00:00,6,12,200004,16667,250008,20834,248164,20680
2015-06-13,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,22394,-1560,,,06/14 00:01:00 CDT,,PRM,Daily,8,2015-06-13 22:01:07,2899516,2015-06-13 00:00:00,6,13,216671,16667,270842,20834,270558,20812
2015-06-14,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,17405,3429,,,06/15 00:01:00 CDT,,PRM,Daily,10,2015-06-14 22:01:05,2930347,2015-06-14 00:00:00,6,14,233338,16667,291676,20834,287963,20568
2015-06-15,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,17398,3436,,,06/16 00:01:00 CDT,,PRM,Daily,10,2015-06-15 22:01:03,2968885,2015-06-15 00:00:00,6,15,250005,16667,312510,20834,305361,20357
2015-06-16,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,27330,-6496,,,06/17 00:01:00 CDT,,PRM,Daily,10,2015-06-16 22:01:09,3004282,2015-06-16 00:00:00,6,16,266672,16667,333344,20834,332691,20793
2015-06-17,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,19898,936,,,06/18 00:01:00 CDT,,PRM,Daily,9,2015-06-17 22:01:05,3042298,2015-06-17 00:00:00,6,17,283339,16667,354178,20834,352589,20740
2015-06-18,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,8602,12232,,,06/19 00:01:00 CDT,,PRM,Daily,10,2015-06-18 22:01:02,3080925,2015-06-18 00:00:00,6,18,300006,16667,375012,20834,361191,20066
2015-06-19,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,28612,-7778,,,06/20 00:01:00 CDT,,PRM,Daily,10,2015-06-19 22:01:06,3117377,2015-06-19 00:00:00,6,19,316673,16667,395846,20834,389803,20515
2015-06-20,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,12798,8036,,,06/21 00:01:00 CDT,,PRM,Daily,10,2015-06-20 22:01:04,3152812,2015-06-20 00:00:00,6,20,333340,16667,416680,20834,402601,20130
2015-06-21,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,17401,3433,,,06/22 00:01:00 CDT,,PRM,Daily,10,2015-06-21 22:01:03,3183686,2015-06-21 00:00:00,6,21,350007,16667,437514,20834,420002,20000
2015-06-22,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,25998,-5164,,,06/23 00:01:00 CDT,,PRM,Daily,10,2015-06-22 22:01:04,3219590,2015-06-22 00:00:00,6,22,366674,16667,458348,20834,446000,20272
2015-06-23,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,31593,-10759,21000.0,12299.0,06/24 00:01:00 CDT,,PRM,Daily,9,2015-06-23 22:01:02,3257572,2015-06-23 00:00:00,6,23,383341,16667,479182,20834,477593,20764
2015-06-24,Unknown,125%,MANSFIELD OIL CO-383369,16667,20834,1262-LEMONT-CITGO,17404,3430,,,06/25 00:01:00 CDT,,PRM,Daily,9,2015-06-24 22:00:08,3293252,2015-06-24 00:00:00,6,24,400008,16667,500016,20834,494997,20624
2015-06-25,Unknown,125%,MANSFIELD OIL CO-383369,20000,25000,1262-LEMONT-CITGO,17398,7602,,,06/26 00:01:00 CDT,,PRM,Daily,10,2015-06-25 22:00:08,3332893,2015-06-25 00:00:00,6,25,420008,16800,525016,21000,512395,20495
2015-06-26,Unknown,125%,MANSFIELD OIL CO-383369,20000,25000,1262-LEMONT-CITGO,26102,-1102,,,06/27 00:01:00 CDT,,PRM,Daily,10,2015-06-26 22:00:07,3371678,2015-06-26 00:00:00,6,26,440008,16923,550016,21154,538497,20711
2015-06-27,Unknown,125%,MANSFIELD OIL CO-383369,20000,25000,1262-LEMONT-CITGO,8699,16301,,,06/28 00:01:00 CDT,,PRM,Daily,10,2015-06-27 22:00:07,3410389,2015-06-27 00:00:00,6,27,460008,17037,575016,21296,547196,20266
2015-06-28,Unknown,125%,MANSFIELD OIL CO-383369,20000,25000,1262-LEMONT-CITGO,17402,7598,,,06/29 00:01:00 CDT,,PRM,Daily,10,2015-06-28 22:00:10,3444542,2015-06-28 00:00:00,6,28,480008,17143,600016,21429,564598,20164
2015-06-29,Unknown,125%,MANSFIELD OIL CO-383369,20000,25000,1262-LEMONT-CITGO,17402,7598,,,06/30 00:01:00 CDT,,PRM,Daily,10,2015-06-29 22:00:11,3483380,2015-06-29 00:00:00,6,29,500008,17241,625016,21552,582000,20068
2015-06-30,Unknown,200%,MANSFIELD OIL CO-383369,26306,52612,1262-LEMONT-CITGO,8704,43908,,,07/01 00:01:00 CDT,,PRM,Daily,10,2015-06-30 22:00:11,3513430,2015-06-30 00:00:00,6,30,526314,17543,677628,22587,590704,19690
