,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,17394,14864,,,05/02 00:01:00 CDT,,PRM,Daily,11,2015-05-01 22:01:06,1235868,2015-05-01 00:00:00,5,1,16129,16129,32258,32258,17394,17394
2015-05-02,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,26093,6165,,,05/03 00:01:00 CDT,,PRM,Daily,10,2015-05-02 22:01:05,1274505,2015-05-02 00:00:00,5,2,32258,16129,64516,32258,43487,21743
2015-05-03,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,26096,6162,,,05/04 00:01:00 CDT,,PRM,Daily,10,2015-05-03 22:01:08,1311555,2015-05-03 00:00:00,5,3,48387,16129,96774,32258,69583,23194
2015-05-04,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,18394,13864,,,05/05 00:01:00 CDT,,PRM,Daily,10,2015-05-04 22:01:07,1349933,2015-05-04 00:00:00,5,4,64516,16129,129032,32258,87977,21994
2015-05-05,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,8699,23559,,,05/06 00:01:00 CDT,,PRM,Daily,10,2015-05-05 22:01:06,1388104,2015-05-05 00:00:00,5,5,80645,16129,161290,32258,96676,19335
2015-05-06,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,39807,-7549,,,05/07 00:01:00 CDT,,PRM,Daily,10,2015-05-06 22:01:04,1430729,2015-05-06 00:00:00,5,6,96774,16129,193548,32258,136483,22747
2015-05-07,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,8697,23561,,,05/08 00:01:00 CDT,,PRM,Daily,10,2015-05-07 22:01:09,1470877,2015-05-07 00:00:00,5,7,112903,16129,225806,32258,145180,20740
2015-05-08,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,26102,6156,,,05/09 00:01:00 CDT,,PRM,Daily,11,2015-05-08 22:00:09,1510750,2015-05-08 00:00:00,5,8,129032,16129,258064,32258,171282,21410
2015-05-09,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,37300,-5042,,,05/10 00:01:00 CDT,,PRM,Daily,6,2015-05-09 22:00:09,1557330,2015-05-09 00:00:00,5,9,145161,16129,290322,32258,208582,23175
2015-05-10,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,8700,23558,,,05/11 00:01:00 CDT,,PRM,Daily,10,2015-05-10 22:00:07,1592752,2015-05-10 00:00:00,5,10,161290,16129,322580,32258,217282,21728
2015-05-11,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,17399,14859,,,05/12 00:01:00 CDT,,PRM,Daily,10,2015-05-11 22:00:09,1632684,2015-05-11 00:00:00,5,11,177419,16129,354838,32258,234681,21334
2015-05-12,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,20893,11365,,,05/13 00:01:00 CDT,,PRM,Daily,10,2015-05-12 22:00:10,1671861,2015-05-12 00:00:00,5,12,193548,16129,387096,32258,255574,21297
2015-05-13,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,37313,-5055,7000.0,-1699.0,05/14 00:01:00 CDT,,PRM,Daily,10,2015-05-13 22:00:06,1713929,2015-05-13 00:00:00,5,13,209677,16129,419354,32258,292887,22529
2015-05-14,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,17307,14951,,,05/15 00:01:00 CDT,,PRM,Daily,10,2015-05-14 22:00:10,1752481,2015-05-14 00:00:00,5,14,225806,16129,451612,32258,310194,22156
2015-05-15,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,17401,14857,,,05/16 00:01:00 CDT,,PRM,Daily,8,2015-05-15 19:00:09,1783142,2015-05-15 00:00:00,5,15,241935,16129,483870,32258,327595,21839
2015-05-16,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,10720,21538,,,05/17 00:01:00 CDT,,PRM,Daily,10,2015-05-16 22:00:11,1828420,2015-05-16 00:00:00,5,16,258064,16129,516128,32258,338315,21144
2015-05-17,Unknown,200%,MANSFIELD OIL CO-383369,16129,32258,1262-LEMONT-CITGO,19922,12336,,,05/18 00:01:00 CDT,,PRM,Daily,10,2015-05-17 22:00:07,1858822,2015-05-17 00:00:00,5,17,274193,16129,548386,32258,358237,21072
