,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-06-01,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,3457,10371,3003-LAKE CHARLES-CITGO,0,10371,,,06/02 00:01:00 CDT,,ULS,Daily,10,2015-06-01 22:01:09,2446765,2015-06-01 00:00:00,6,1,3457,3457,10371,10371,0,0
2015-06-02,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,3457,10371,3003-LAKE CHARLES-CITGO,7503,2868,,,06/03 00:01:00 CDT,,ULS,Daily,10,2015-06-02 22:01:07,2485807,2015-06-02 00:00:00,6,2,6914,3457,20742,10371,7503,3751
2015-06-03,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/04 00:01:00 CDT,,ULS,Daily,10,2015-06-03 22:01:09,2523768,2015-06-03 00:00:00,6,3,15247,5082,45741,15247,7503,2501
2015-06-04,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/05 00:01:00 CDT,,ULS,Daily,10,2015-06-04 22:01:07,2562311,2015-06-04 00:00:00,6,4,23580,5895,70740,17685,7503,1875
2015-06-05,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,7500,17499,,,06/06 00:01:00 CDT,,ULS,Daily,11,2015-06-05 22:01:05,2606315,2015-06-05 00:00:00,6,5,31913,6382,95739,19147,15003,3000
2015-06-06,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/07 00:01:00 CDT,,ULS,Daily,10,2015-06-06 22:01:11,2643527,2015-06-06 00:00:00,6,6,40246,6707,120738,20123,15003,2500
2015-06-07,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/08 00:01:00 CDT,,ULS,Daily,10,2015-06-07 22:01:06,2679103,2015-06-07 00:00:00,6,7,48579,6939,145737,20819,15003,2143
2015-06-08,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,5002,19997,,,06/09 00:01:00 CDT,,ULS,Daily,10,2015-06-08 22:01:04,2717550,2015-06-08 00:00:00,6,8,56912,7114,170736,21342,20005,2500
2015-06-09,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,7263,17736,,,06/10 00:01:00 CDT,,ULS,Daily,10,2015-06-09 22:01:08,2756124,2015-06-09 00:00:00,6,9,65245,7249,195735,21748,27268,3029
2015-06-10,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/11 00:01:00 CDT,,ULS,Daily,10,2015-06-10 22:01:07,2794856,2015-06-10 00:00:00,6,10,73578,7357,220734,22073,27268,2726
2015-06-11,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,12507,12492,,,06/12 00:01:00 CDT,,ULS,Daily,10,2015-06-11 22:01:05,2834641,2015-06-11 00:00:00,6,11,81911,7446,245733,22339,39775,3615
2015-06-12,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,1010,23989,,,06/13 00:01:00 CDT,,ULS,Daily,10,2015-06-12 22:01:03,2872437,2015-06-12 00:00:00,6,12,90244,7520,270732,22561,40785,3398
2015-06-13,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/14 00:01:00 CDT,,ULS,Daily,8,2015-06-13 22:01:07,2899585,2015-06-13 00:00:00,6,13,98577,7582,295731,22748,40785,3137
2015-06-14,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/15 00:01:00 CDT,,ULS,Daily,10,2015-06-14 22:01:05,2930416,2015-06-14 00:00:00,6,14,106910,7636,320730,22909,40785,2913
2015-06-15,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,9608,15391,,,06/16 00:01:00 CDT,,ULS,Daily,10,2015-06-15 22:01:03,2968954,2015-06-15 00:00:00,6,15,115243,7682,345729,23048,50393,3359
2015-06-16,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/17 00:01:00 CDT,,ULS,Daily,10,2015-06-16 22:01:09,3004351,2015-06-16 00:00:00,6,16,123576,7723,370728,23170,50393,3149
2015-06-17,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,5508,19491,,,06/18 00:01:00 CDT,,ULS,Daily,9,2015-06-17 22:01:05,3042367,2015-06-17 00:00:00,6,17,131909,7759,395727,23278,55901,3288
2015-06-18,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,7512,17487,,,06/19 00:01:00 CDT,,ULS,Daily,10,2015-06-18 22:01:02,3080994,2015-06-18 00:00:00,6,18,140242,7791,420726,23373,63413,3522
2015-06-19,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,6003,18996,,,06/20 00:01:00 CDT,,ULS,Daily,10,2015-06-19 22:01:06,3117446,2015-06-19 00:00:00,6,19,148575,7819,445725,23459,69416,3653
2015-06-20,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/21 00:01:00 CDT,,ULS,Daily,10,2015-06-20 22:01:04,3152881,2015-06-20 00:00:00,6,20,156908,7845,470724,23536,69416,3470
2015-06-21,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/22 00:01:00 CDT,,ULS,Daily,10,2015-06-21 22:01:03,3183755,2015-06-21 00:00:00,6,21,165241,7868,495723,23605,69416,3305
2015-06-22,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/23 00:01:00 CDT,,ULS,Daily,10,2015-06-22 22:01:04,3219659,2015-06-22 00:00:00,6,22,173574,7889,520722,23669,69416,3155
2015-06-23,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,7507,17492,,,06/24 00:01:00 CDT,,ULS,Daily,9,2015-06-23 22:01:02,3257641,2015-06-23 00:00:00,6,23,181907,7909,545721,23727,76923,3344
2015-06-24,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/25 00:01:00 CDT,,ULS,Daily,9,2015-06-24 22:00:08,3293321,2015-06-24 00:00:00,6,24,190240,7926,570720,23780,76923,3205
2015-06-25,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,11501,13498,,,06/26 00:01:00 CDT,,ULS,Daily,10,2015-06-25 22:00:08,3332962,2015-06-25 00:00:00,6,25,198573,7942,595719,23828,88424,3536
2015-06-26,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,5006,19993,,,06/27 00:01:00 CDT,,ULS,Daily,10,2015-06-26 22:00:07,3371747,2015-06-26 00:00:00,6,26,206906,7957,620718,23873,93430,3593
2015-06-27,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/28 00:01:00 CDT,,ULS,Daily,10,2015-06-27 22:00:07,3410458,2015-06-27 00:00:00,6,27,215239,7971,645717,23915,93430,3460
2015-06-28,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/29 00:01:00 CDT,,ULS,Daily,10,2015-06-28 22:00:10,3444611,2015-06-28 00:00:00,6,28,223572,7984,670716,23954,93430,3336
2015-06-29,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,06/30 00:01:00 CDT,,ULS,Daily,10,2015-06-29 22:00:11,3483449,2015-06-29 00:00:00,6,29,231905,7996,695715,23990,93430,3221
2015-06-30,Unknown,300%,MANSFIELD OIL CO OF GAINESVILLE--224531,8333,24999,3003-LAKE CHARLES-CITGO,0,24999,,,07/01 00:01:00 CDT,,ULS,Daily,3,2015-06-30 07:00:07,3495114,2015-06-30 00:00:00,6,30,240238,8007,720714,24023,93430,3114
