,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-06-01,Unknown,100%,MANSFIELD OIL CO-383369,500000,500000,1262-LEMONT-CITGO,26094,473906,,,07/01 00:01:00 CDT,,PRM,Monthly,10,2015-06-01 22:01:09,2446698,2015-06-01 00:00:00,6,1,500000,500000,500000,500000,26094,26094
2015-06-02,Unknown,100%,MANSFIELD OIL CO-383369,500000,500000,1262-LEMONT-CITGO,63015,436985,,,07/01 00:01:00 CDT,,PRM,Monthly,10,2015-06-02 22:01:07,2485740,2015-06-02 00:00:00,6,2,1000000,500000,1000000,500000,89109,44554
2015-06-03,Unknown,100%,MANSFIELD OIL CO-383369,500000,500000,1262-LEMONT-CITGO,72713,427287,,,07/01 00:01:00 CDT,,PRM,Monthly,10,2015-06-03 22:01:09,2523701,2015-06-03 00:00:00,6,3,1500000,500000,1500000,500000,161822,53940
2015-06-04,Unknown,100%,MANSFIELD OIL CO-383369,500000,500000,1262-LEMONT-CITGO,111019,388981,,,07/01 00:01:00 CDT,,PRM,Monthly,10,2015-06-04 22:01:07,2562244,2015-06-04 00:00:00,6,4,2000000,500000,2000000,500000,272841,68210
2015-06-05,Unknown,100%,MANSFIELD OIL CO-383369,500000,500000,1262-LEMONT-CITGO,137026,362974,,,07/01 00:01:00 CDT,,PRM,Monthly,11,2015-06-05 22:01:05,2606248,2015-06-05 00:00:00,6,5,2500000,500000,2500000,500000,409867,81973
2015-06-06,Unknown,100%,MANSFIELD OIL CO-383369,500000,500000,1262-LEMONT-CITGO,150725,349275,,,07/01 00:01:00 CDT,,PRM,Monthly,10,2015-06-06 22:01:11,2643460,2015-06-06 00:00:00,6,6,3000000,500000,3000000,500000,560592,93432
2015-06-07,Unknown,100%,MANSFIELD OIL CO-383369,500000,500000,1262-LEMONT-CITGO,168148,331852,,,07/01 00:01:00 CDT,,PRM,Monthly,10,2015-06-07 22:01:06,2679036,2015-06-07 00:00:00,6,7,3500000,500000,3500000,500000,728740,104105
2015-06-08,Unknown,100%,MANSFIELD OIL CO-383369,500000,500000,1262-LEMONT-CITGO,194243,305757,,,07/01 00:01:00 CDT,,PRM,Monthly,10,2015-06-08 22:01:04,2717483,2015-06-08 00:00:00,6,8,4000000,500000,4000000,500000,922983,115372
2015-06-09,Unknown,100%,MANSFIELD OIL CO-383369,500000,500000,1262-LEMONT-CITGO,205463,294537,,,07/01 00:01:00 CDT,,PRM,Monthly,10,2015-06-09 22:01:08,2756057,2015-06-09 00:00:00,6,9,4500000,500000,4500000,500000,1128446,125382
2015-06-10,Unknown,100%,MANSFIELD OIL CO-383369,500000,500000,1262-LEMONT-CITGO,222763,277237,,,07/01 00:01:00 CDT,,PRM,Monthly,10,2015-06-10 22:01:07,2794789,2015-06-10 00:00:00,6,10,5000000,500000,5000000,500000,1351209,135120
