,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Unknown,110%,MANSFIELD OIL CO-383369,500000,550000,1262-LEMONT-CITGO,17394,532606,,,06/01 00:01:00 CDT,,PRM,Monthly,11,2015-05-01 22:01:06,1235870,2015-05-01 00:00:00,5,1,500000,500000,550000,550000,17394,17394
2015-05-02,Unknown,110%,MANSFIELD OIL CO-383369,500000,550000,1262-LEMONT-CITGO,43487,506513,,,06/01 00:01:00 CDT,,PRM,Monthly,10,2015-05-02 22:01:05,1274507,2015-05-02 00:00:00,5,2,1000000,500000,1100000,550000,60881,30440
2015-05-03,Unknown,110%,MANSFIELD OIL CO-383369,500000,550000,1262-LEMONT-CITGO,69583,480417,,,06/01 00:01:00 CDT,,PRM,Monthly,10,2015-05-03 22:01:08,1311557,2015-05-03 00:00:00,5,3,1500000,500000,1650000,550000,130464,43488
2015-05-04,Unknown,110%,MANSFIELD OIL CO-383369,500000,550000,1262-LEMONT-CITGO,87977,462023,,,06/01 00:01:00 CDT,,PRM,Monthly,10,2015-05-04 22:01:07,1349935,2015-05-04 00:00:00,5,4,2000000,500000,2200000,550000,218441,54610
2015-05-05,Unknown,110%,MANSFIELD OIL CO-383369,500000,550000,1262-LEMONT-CITGO,96676,453324,,,06/01 00:01:00 CDT,,PRM,Monthly,10,2015-05-05 22:01:06,1388106,2015-05-05 00:00:00,5,5,2500000,500000,2750000,550000,315117,63023
2015-05-06,Unknown,110%,MANSFIELD OIL CO-383369,500000,550000,1262-LEMONT-CITGO,136483,413517,,,06/01 00:01:00 CDT,,PRM,Monthly,10,2015-05-06 22:01:04,1430731,2015-05-06 00:00:00,5,6,3000000,500000,3300000,550000,451600,75266
2015-05-07,Unknown,110%,MANSFIELD OIL CO-383369,500000,550000,1262-LEMONT-CITGO,145180,404820,,,06/01 00:01:00 CDT,,PRM,Monthly,10,2015-05-07 22:01:09,1470879,2015-05-07 00:00:00,5,7,3500000,500000,3850000,550000,596780,85254
2015-05-08,Unknown,110%,MANSFIELD OIL CO-383369,500000,550000,1262-LEMONT-CITGO,171282,378718,,,06/01 00:01:00 CDT,,PRM,Monthly,11,2015-05-08 22:00:09,1510752,2015-05-08 00:00:00,5,8,4000000,500000,4400000,550000,768062,96007
2015-05-09,Unknown,110%,MANSFIELD OIL CO-383369,500000,550000,1262-LEMONT-CITGO,208582,341418,,,06/01 00:01:00 CDT,,PRM,Monthly,6,2015-05-09 22:00:09,1557332,2015-05-09 00:00:00,5,9,4500000,500000,4950000,550000,976644,108516
2015-05-10,Unknown,110%,MANSFIELD OIL CO-383369,500000,550000,1262-LEMONT-CITGO,217282,332718,,,06/01 00:01:00 CDT,,PRM,Monthly,10,2015-05-10 22:00:07,1592754,2015-05-10 00:00:00,5,10,5000000,500000,5500000,550000,1193926,119392
2015-05-11,Unknown,110%,MANSFIELD OIL CO-383369,500000,550000,1262-LEMONT-CITGO,234681,315319,,,06/01 00:01:00 CDT,,PRM,Monthly,10,2015-05-11 22:00:09,1632686,2015-05-11 00:00:00,5,11,5500000,500000,6050000,550000,1428607,129873
