,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-06-01,Unknown,125%,MANSFIELD OIL CO OF GAINESVILLE--224531,103710,129638,3003-LAKE CHARLES-CITGO,0,129638,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-01 22:01:09,2446767,2015-06-01 00:00:00,6,1,103710,103710,129638,129638,0,0
2015-06-02,Unknown,125%,MANSFIELD OIL CO OF GAINESVILLE--224531,103710,129638,3003-LAKE CHARLES-CITGO,7503,122135,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-02 22:01:07,2485809,2015-06-02 00:00:00,6,2,207420,103710,259276,129638,7503,3751
2015-06-03,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,7503,267497,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-03 22:01:09,2523770,2015-06-03 00:00:00,6,3,457420,152473,534276,178092,15006,5002
2015-06-04,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,7503,267497,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-04 22:01:07,2562313,2015-06-04 00:00:00,6,4,707420,176855,809276,202319,22509,5627
2015-06-05,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,15003,259997,,,07/01 00:01:00 CDT,,ULS,Monthly,11,2015-06-05 22:01:05,2606317,2015-06-05 00:00:00,6,5,957420,191484,1084276,216855,37512,7502
2015-06-06,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,15003,259997,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-06 22:01:11,2643529,2015-06-06 00:00:00,6,6,1207420,201236,1359276,226546,52515,8752
2015-06-07,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,15003,259997,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-07 22:01:06,2679105,2015-06-07 00:00:00,6,7,1457420,208202,1634276,233468,67518,9645
2015-06-08,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,20005,254995,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-08 22:01:04,2717552,2015-06-08 00:00:00,6,8,1707420,213427,1909276,238659,87523,10940
2015-06-09,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,27268,247732,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-09 22:01:08,2756126,2015-06-09 00:00:00,6,9,1957420,217491,2184276,242697,114791,12754
2015-06-10,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,27268,247732,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-10 22:01:07,2794858,2015-06-10 00:00:00,6,10,2207420,220742,2459276,245927,142059,14205
2015-06-11,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,39775,235225,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-11 22:01:05,2834643,2015-06-11 00:00:00,6,11,2457420,223401,2734276,248570,181834,16530
2015-06-12,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,40785,234215,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-12 22:01:03,2872439,2015-06-12 00:00:00,6,12,2707420,225618,3009276,250773,222619,18551
2015-06-13,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,40785,234215,,,07/01 00:01:00 CDT,,ULS,Monthly,8,2015-06-13 22:01:07,2899587,2015-06-13 00:00:00,6,13,2957420,227493,3284276,252636,263404,20261
2015-06-14,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,40785,234215,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-14 22:01:05,2930418,2015-06-14 00:00:00,6,14,3207420,229101,3559276,254234,304189,21727
2015-06-15,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,50393,224607,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-15 22:01:03,2968956,2015-06-15 00:00:00,6,15,3457420,230494,3834276,255618,354582,23638
2015-06-16,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,50393,224607,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-16 22:01:09,3004353,2015-06-16 00:00:00,6,16,3707420,231713,4109276,256829,404975,25310
2015-06-17,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,55901,219099,,,07/01 00:01:00 CDT,,ULS,Monthly,9,2015-06-17 22:01:05,3042369,2015-06-17 00:00:00,6,17,3957420,232789,4384276,257898,460876,27110
2015-06-18,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,63413,211587,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-18 22:01:02,3080996,2015-06-18 00:00:00,6,18,4207420,233745,4659276,258848,524289,29127
2015-06-19,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,69416,205584,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-19 22:01:06,3117448,2015-06-19 00:00:00,6,19,4457420,234601,4934276,259698,593705,31247
2015-06-20,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,69416,205584,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-20 22:01:04,3152883,2015-06-20 00:00:00,6,20,4707420,235371,5209276,260463,663121,33156
2015-06-21,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,69416,205584,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-21 22:01:03,3183757,2015-06-21 00:00:00,6,21,4957420,236067,5484276,261156,732537,34882
2015-06-22,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,69416,205584,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-22 22:01:04,3219661,2015-06-22 00:00:00,6,22,5207420,236700,5759276,261785,801953,36452
2015-06-23,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,76923,198077,,,07/01 00:01:00 CDT,,ULS,Monthly,9,2015-06-23 22:01:02,3257643,2015-06-23 00:00:00,6,23,5457420,237279,6034276,262359,878876,38212
2015-06-24,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,76923,198077,,,07/01 00:01:00 CDT,,ULS,Monthly,9,2015-06-24 22:00:08,3293323,2015-06-24 00:00:00,6,24,5707420,237809,6309276,262886,955799,39824
2015-06-25,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,88424,186576,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-25 22:00:08,3332964,2015-06-25 00:00:00,6,25,5957420,238296,6584276,263371,1044223,41768
2015-06-26,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,93430,181570,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-26 22:00:07,3371749,2015-06-26 00:00:00,6,26,6207420,238746,6859276,263818,1137653,43755
2015-06-27,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,93430,181570,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-27 22:00:07,3410460,2015-06-27 00:00:00,6,27,6457420,239163,7134276,264232,1231083,45595
2015-06-28,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,93430,181570,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-28 22:00:10,3444613,2015-06-28 00:00:00,6,28,6707420,239550,7409276,264617,1324513,47304
2015-06-29,Unknown,110%,MANSFIELD OIL CO OF GAINESVILLE--224531,250000,275000,3003-LAKE CHARLES-CITGO,93430,181570,,,07/01 00:01:00 CDT,,ULS,Monthly,10,2015-06-29 22:00:11,3483451,2015-06-29 00:00:00,6,29,6957420,239911,7684276,264975,1417943,48894
