,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-06-01,Unknown,125%,MANSFIELD OIL CO-383369,116667,145834,1262-LEMONT-CITGO,57889,87945,,,06/04 00:01:00 CDT,,PRM,Weekly,10,2015-06-01 22:01:09,2446697,2015-06-01 00:00:00,6,1,116667,116667,145834,145834,57889,57889
2015-06-02,Unknown,125%,MANSFIELD OIL CO-383369,116667,145834,1262-LEMONT-CITGO,94810,51024,,,06/04 00:01:00 CDT,,PRM,Weekly,10,2015-06-02 22:01:07,2485739,2015-06-02 00:00:00,6,2,233334,116667,291668,145834,152699,76349
2015-06-03,Unknown,125%,MANSFIELD OIL CO-383369,116667,145834,1262-LEMONT-CITGO,104508,41326,,,06/04 00:01:00 CDT,,PRM,Weekly,10,2015-06-03 22:01:09,2523700,2015-06-03 00:00:00,6,3,350001,116667,437502,145834,257207,85735
2015-06-04,Unknown,125%,MANSFIELD OIL CO-383369,116667,145834,1262-LEMONT-CITGO,35606,110228,,,06/11 00:01:00 CDT,,PRM,Weekly,10,2015-06-04 22:01:07,2562243,2015-06-04 00:00:00,6,4,466668,116667,583336,145834,292813,73203
2015-06-05,Unknown,125%,MANSFIELD OIL CO-383369,116667,145834,1262-LEMONT-CITGO,61613,84221,,,06/11 00:01:00 CDT,,PRM,Weekly,11,2015-06-05 22:01:05,2606247,2015-06-05 00:00:00,6,5,583335,116667,729170,145834,354426,70885
2015-06-06,Unknown,125%,MANSFIELD OIL CO-383369,116667,145834,1262-LEMONT-CITGO,75312,70522,,,06/11 00:01:00 CDT,,PRM,Weekly,10,2015-06-06 22:01:11,2643459,2015-06-06 00:00:00,6,6,700002,116667,875004,145834,429738,71623
2015-06-07,Unknown,125%,MANSFIELD OIL CO-383369,116667,145834,1262-LEMONT-CITGO,92735,53099,,,06/11 00:01:00 CDT,,PRM,Weekly,10,2015-06-07 22:01:06,2679035,2015-06-07 00:00:00,6,7,816669,116667,1020838,145834,522473,74639
2015-06-08,Unknown,125%,MANSFIELD OIL CO-383369,116667,145834,1262-LEMONT-CITGO,118830,27004,,,06/11 00:01:00 CDT,,PRM,Weekly,10,2015-06-08 22:01:04,2717482,2015-06-08 00:00:00,6,8,933336,116667,1166672,145834,641303,80162
2015-06-09,Unknown,125%,MANSFIELD OIL CO-383369,116667,145834,1262-LEMONT-CITGO,130050,15784,,,06/11 00:01:00 CDT,,PRM,Weekly,10,2015-06-09 22:01:08,2756056,2015-06-09 00:00:00,6,9,1050003,116667,1312506,145834,771353,85705
2015-06-10,Unknown,125%,MANSFIELD OIL CO-383369,116667,145834,1262-LEMONT-CITGO,147350,-1516,,,06/11 00:01:00 CDT,,PRM,Weekly,10,2015-06-10 22:01:07,2794788,2015-06-10 00:00:00,6,10,1166670,116667,1458340,145834,918703,91870
