,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,32084,109045,,,05/07 00:01:00 CDT,,PRM,Weekly,11,2015-05-01 22:01:06,1235869,2015-05-01 00:00:00,5,1,112903,112903,141129,141129,32084,32084
2015-05-02,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,58177,82952,,,05/07 00:01:00 CDT,,PRM,Weekly,10,2015-05-02 22:01:05,1274506,2015-05-02 00:00:00,5,2,225806,112903,282258,141129,90261,45130
2015-05-03,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,84273,56856,,,05/07 00:01:00 CDT,,PRM,Weekly,10,2015-05-03 22:01:08,1311556,2015-05-03 00:00:00,5,3,338709,112903,423387,141129,174534,58178
2015-05-04,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,102667,38462,,,05/07 00:01:00 CDT,,PRM,Weekly,10,2015-05-04 22:01:07,1349934,2015-05-04 00:00:00,5,4,451612,112903,564516,141129,277201,69300
2015-05-05,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,111366,29763,,,05/07 00:01:00 CDT,,PRM,Weekly,10,2015-05-05 22:01:06,1388105,2015-05-05 00:00:00,5,5,564515,112903,705645,141129,388567,77713
2015-05-06,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,151173,-10044,,,05/07 00:01:00 CDT,,PRM,Weekly,10,2015-05-06 22:01:04,1430730,2015-05-06 00:00:00,5,6,677418,112903,846774,141129,539740,89956
2015-05-07,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,8697,132432,,,05/14 00:01:00 CDT,,PRM,Weekly,10,2015-05-07 22:01:09,1470878,2015-05-07 00:00:00,5,7,790321,112903,987903,141129,548437,78348
2015-05-08,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,34799,106330,,,05/14 00:01:00 CDT,,PRM,Weekly,11,2015-05-08 22:00:09,1510751,2015-05-08 00:00:00,5,8,903224,112903,1129032,141129,583236,72904
2015-05-09,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,72099,69030,,,05/14 00:01:00 CDT,,PRM,Weekly,6,2015-05-09 22:00:09,1557331,2015-05-09 00:00:00,5,9,1016127,112903,1270161,141129,655335,72815
2015-05-10,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,80799,60330,,,05/14 00:01:00 CDT,,PRM,Weekly,10,2015-05-10 22:00:07,1592753,2015-05-10 00:00:00,5,10,1129030,112903,1411290,141129,736134,73613
2015-05-11,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,98198,42931,,,05/14 00:01:00 CDT,,PRM,Weekly,10,2015-05-11 22:00:09,1632685,2015-05-11 00:00:00,5,11,1241933,112903,1552419,141129,834332,75848
2015-05-12,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,119091,22038,,,05/14 00:01:00 CDT,,PRM,Weekly,10,2015-05-12 22:00:10,1671862,2015-05-12 00:00:00,5,12,1354836,112903,1693548,141129,953423,79451
2015-05-13,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,156404,-15275,7000.0,-1699.0,05/14 00:01:00 CDT,,PRM,Weekly,10,2015-05-13 22:00:06,1713930,2015-05-13 00:00:00,5,13,1467739,112903,1834677,141129,1109827,85371
2015-05-14,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,17307,123822,,,05/21 00:01:00 CDT,,PRM,Weekly,10,2015-05-14 22:00:10,1752482,2015-05-14 00:00:00,5,14,1580642,112903,1975806,141129,1127134,80509
2015-05-15,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,34708,106421,,,05/21 00:01:00 CDT,,PRM,Weekly,8,2015-05-15 19:00:09,1783143,2015-05-15 00:00:00,5,15,1693545,112903,2116935,141129,1161842,77456
2015-05-16,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,54143,86986,,,05/21 00:01:00 CDT,,PRM,Weekly,10,2015-05-16 22:00:11,1828421,2015-05-16 00:00:00,5,16,1806448,112903,2258064,141129,1215985,75999
2015-05-17,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,74065,67064,,,05/21 00:01:00 CDT,,PRM,Weekly,10,2015-05-17 22:00:07,1858823,2015-05-17 00:00:00,5,17,1919351,112903,2399193,141129,1290050,75885
2015-05-18,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,99964,41165,,,05/21 00:01:00 CDT,,PRM,Weekly,10,2015-05-18 22:00:08,1900172,2015-05-18 00:00:00,5,18,2032254,112903,2540322,141129,1390014,77223
2015-05-19,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,123171,17958,,,05/21 00:01:00 CDT,,PRM,Weekly,10,2015-05-19 22:00:10,1940114,2015-05-19 00:00:00,5,19,2145157,112903,2681451,141129,1513185,79641
2015-05-20,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,125674,15455,,,05/21 00:01:00 CDT,,PRM,Weekly,10,2015-05-20 22:00:11,1982043,2015-05-20 00:00:00,5,20,2258060,112903,2822580,141129,1638859,81942
2015-05-21,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,26098,115031,,,05/28 00:01:00 CDT,,PRM,Weekly,10,2015-05-21 22:00:08,2025121,2015-05-21 00:00:00,5,21,2370963,112903,2963709,141129,1664957,79283
2015-05-22,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,48611,92518,,,05/28 00:01:00 CDT,,PRM,Weekly,10,2015-05-22 22:00:06,2064973,2015-05-22 00:00:00,5,22,2483866,112903,3104838,141129,1713568,77889
2015-05-23,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,71024,70105,,,05/28 00:01:00 CDT,,PRM,Weekly,10,2015-05-23 22:00:07,2103768,2015-05-23 00:00:00,5,23,2596769,112903,3245967,141129,1784592,77590
2015-05-24,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,91952,49177,,,05/28 00:01:00 CDT,,PRM,Weekly,10,2015-05-24 22:00:07,2139507,2015-05-24 00:00:00,5,24,2709672,112903,3387096,141129,1876544,78189
2015-05-25,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,91952,49177,,,05/28 00:01:00 CDT,,PRM,Weekly,10,2015-05-25 22:00:09,2178545,2015-05-25 00:00:00,5,25,2822575,112903,3528225,141129,1968496,78739
2015-05-26,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,91952,49177,,,05/28 00:01:00 CDT,,PRM,Weekly,10,2015-05-26 22:00:10,2217992,2015-05-26 00:00:00,5,26,2935478,112903,3669354,141129,2060448,79248
2015-05-27,Unknown,125%,MANSFIELD OIL CO-383369,112903,141129,1262-LEMONT-CITGO,91952,49177,,,05/28 00:01:00 CDT,,PRM,Weekly,10,2015-05-27 22:00:08,2256919,2015-05-27 00:00:00,5,27,3048381,112903,3810483,141129,2152400,79718
2015-05-28,Unknown,125%,MANSFIELD OIL CO-383369,122387,152984,1262-LEMONT-CITGO,19600,133384,,,06/04 00:01:00 CDT,,PRM,Weekly,10,2015-05-28 22:01:06,2294389,2015-05-28 00:00:00,5,28,3170768,113241,3963467,141552,2172000,77571
2015-05-29,Unknown,125%,MANSFIELD OIL CO-383369,122387,152984,1262-LEMONT-CITGO,31795,121189,,,06/04 00:01:00 CDT,,PRM,Weekly,10,2015-05-29 22:01:09,2333697,2015-05-29 00:00:00,5,29,3293155,113557,4116451,141946,2203795,75992
2015-05-30,Unknown,125%,MANSFIELD OIL CO-383369,122387,152984,1262-LEMONT-CITGO,31795,121189,,,06/04 00:01:00 CDT,,PRM,Weekly,9,2015-05-30 22:01:08,2371923,2015-05-30 00:00:00,5,30,3415542,113851,4269435,142314,2235590,74519
2015-05-31,Unknown,125%,MANSFIELD OIL CO-383369,174483,218104,1262-LEMONT-CITGO,31795,186309,,,06/04 00:01:00 CDT,,PRM,Weekly,10,2015-05-31 22:01:05,2407441,2015-05-31 00:00:00,5,31,3590025,115807,4487539,144759,2267385,73141
