,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-06-01,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,24199,29039,3003-LAKE CHARLES-CITGO,7498,21541,,,06/04 00:01:00 CDT,,ULS,Weekly,10,2015-06-01 22:01:09,2446766,2015-06-01 00:00:00,6,1,24199,24199,29039,29039,7498,7498
2015-06-02,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,24199,29039,3003-LAKE CHARLES-CITGO,15001,14038,,,06/04 00:01:00 CDT,,ULS,Weekly,10,2015-06-02 22:01:07,2485808,2015-06-02 00:00:00,6,2,48398,24199,58078,29039,22499,11249
2015-06-03,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,15001,54999,,,06/04 00:01:00 CDT,,ULS,Weekly,10,2015-06-03 22:01:09,2523769,2015-06-03 00:00:00,6,3,106731,35577,128078,42692,37500,12500
2015-06-04,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,0,70000,,,06/11 00:01:00 CDT,,ULS,Weekly,10,2015-06-04 22:01:07,2562312,2015-06-04 00:00:00,6,4,165064,41266,198078,49519,37500,9375
2015-06-05,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,7500,62500,,,06/11 00:01:00 CDT,,ULS,Weekly,11,2015-06-05 22:01:05,2606316,2015-06-05 00:00:00,6,5,223397,44679,268078,53615,45000,9000
2015-06-06,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,7500,62500,,,06/11 00:01:00 CDT,,ULS,Weekly,10,2015-06-06 22:01:11,2643528,2015-06-06 00:00:00,6,6,281730,46955,338078,56346,52500,8750
2015-06-07,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,7500,62500,,,06/11 00:01:00 CDT,,ULS,Weekly,10,2015-06-07 22:01:06,2679104,2015-06-07 00:00:00,6,7,340063,48580,408078,58296,60000,8571
2015-06-08,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,12502,57498,,,06/11 00:01:00 CDT,,ULS,Weekly,10,2015-06-08 22:01:04,2717551,2015-06-08 00:00:00,6,8,398396,49799,478078,59759,72502,9062
2015-06-09,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,19765,50235,,,06/11 00:01:00 CDT,,ULS,Weekly,10,2015-06-09 22:01:08,2756125,2015-06-09 00:00:00,6,9,456729,50747,548078,60897,92267,10251
2015-06-10,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,19765,50235,,,06/11 00:01:00 CDT,,ULS,Weekly,10,2015-06-10 22:01:07,2794857,2015-06-10 00:00:00,6,10,515062,51506,618078,61807,112032,11203
2015-06-11,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,12507,57493,,,06/18 00:01:00 CDT,,ULS,Weekly,10,2015-06-11 22:01:05,2834642,2015-06-11 00:00:00,6,11,573395,52126,688078,62552,124539,11321
2015-06-12,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,13517,56483,,,06/18 00:01:00 CDT,,ULS,Weekly,10,2015-06-12 22:01:03,2872438,2015-06-12 00:00:00,6,12,631728,52644,758078,63173,138056,11504
2015-06-13,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,13517,56483,,,06/18 00:01:00 CDT,,ULS,Weekly,8,2015-06-13 22:01:07,2899586,2015-06-13 00:00:00,6,13,690061,53081,828078,63698,151573,11659
2015-06-14,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,13517,56483,,,06/18 00:01:00 CDT,,ULS,Weekly,10,2015-06-14 22:01:05,2930417,2015-06-14 00:00:00,6,14,748394,53456,898078,64148,165090,11792
2015-06-15,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,23125,46875,,,06/18 00:01:00 CDT,,ULS,Weekly,10,2015-06-15 22:01:03,2968955,2015-06-15 00:00:00,6,15,806727,53781,968078,64538,188215,12547
2015-06-16,Unknown,120%,MANSFIELD OIL CO OF GAINESVILLE--224531,58333,70000,3003-LAKE CHARLES-CITGO,23125,46875,,,06/18 00:01:00 CDT,,ULS,Weekly,10,2015-06-16 22:01:09,3004352,2015-06-16 00:00:00,6,16,865060,54066,1038078,64879,211340,13208
