,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Available,150%,MANSFIELD OIL COMPANY OF 106305 IW,81533,122300,LOCKPORT IL (MOC) - 00MD,77615,44685,0,0,05/02 00:00:00 CDT,81533,ULSD,Daily,11,2015-05-01 22:08:21,1236345,2015-05-01 00:00:00,5,1,81533,81533,122300,122300,77615,77615
2015-05-02,Available,150%,MANSFIELD OIL COMPANY OF 106305 IW,81533,122300,LOCKPORT IL (MOC) - 00MD,70910,51390,0,0,05/03 00:00:00 CDT,81533,ULSD,Daily,10,2015-05-02 22:08:15,1274982,2015-05-02 00:00:00,5,2,163066,81533,244600,122300,148525,74262
2015-05-03,Available,150%,MANSFIELD OIL COMPANY OF 106305 IW,81533,122300,LOCKPORT IL (MOC) - 00MD,73320,48980,0,0,05/04 00:00:00 CDT,81533,ULSD,Daily,10,2015-05-03 22:08:28,1312032,2015-05-03 00:00:00,5,3,244599,81533,366900,122300,221845,73948
2015-05-04,Available,150%,MANSFIELD OIL COMPANY OF 106305 IW,81533,122300,LOCKPORT IL (MOC) - 00MD,119502,2798,0,0,05/05 00:00:00 CDT,81533,ULSD,Daily,10,2015-05-04 22:08:27,1350415,2015-05-04 00:00:00,5,4,326132,81533,489200,122300,341347,85336
2015-05-05,Available,150%,MANSFIELD OIL COMPANY OF 106305 IW,81533,122300,LOCKPORT IL (MOC) - 00MD,76823,45477,0,0,05/06 00:00:00 CDT,81533,ULSD,Daily,10,2015-05-05 22:08:31,1388584,2015-05-05 00:00:00,5,5,407665,81533,611500,122300,418170,83634
2015-05-06,Available,150%,MANSFIELD OIL COMPANY OF 106305 IW,81533,122300,LOCKPORT IL (MOC) - 00MD,85044,37256,0,0,05/07 00:00:00 CDT,81533,ULSD,Daily,10,2015-05-06 22:08:29,1431209,2015-05-06 00:00:00,5,6,489198,81533,733800,122300,503214,83869
2015-05-07,Available,150%,MANSFIELD OIL COMPANY OF 106305 IW,81533,122300,LOCKPORT IL (MOC) - 00MD,82098,40202,0,0,05/08 00:00:00 CDT,81533,ULSD,Daily,10,2015-05-07 22:08:24,1471357,2015-05-07 00:00:00,5,7,570731,81533,856100,122300,585312,83616
2015-05-08,Available,150%,MANSFIELD OIL COMPANY OF 106305 IW,81533,122300,LOCKPORT IL (MOC) - 00MD,41608,80692,0,0,05/09 00:00:00 CDT,81533,ULSD,Daily,10,2015-05-08 22:07:29,1511230,2015-05-08 00:00:00,5,8,652264,81533,978400,122300,626920,78365
2015-05-09,Available,150%,MANSFIELD OIL COMPANY OF 106305 IW,81533,122300,LOCKPORT IL (MOC) - 00MD,67629,54671,0,0,05/10 00:00:00 CDT,81533,ULSD,Daily,12,2015-05-09 22:07:29,1557810,2015-05-09 00:00:00,5,9,733797,81533,1100700,122300,694549,77172
2015-05-10,Out,150%,MANSFIELD OIL COMPANY OF 106305 IW,81533,122300,LOCKPORT IL (MOC) - 00MD,123719,-1420,0,0,05/11 00:00:00 CDT,81533,ULSD,Daily,11,2015-05-10 22:07:22,1593273,2015-05-10 00:00:00,5,10,815330,81533,1223000,122300,818268,81826
