,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Available,140%,MANSFIELD OIL COMPANY OF 106305 IW,570729,799021,LOCKPORT IL (MOC) - 00MD,162149,636872,0,0,05/07 00:00:00 CDT,570729,ULSD,Weekly,11,2015-05-01 22:08:21,1236346,2015-05-01 00:00:00,5,1,570729,570729,799021,799021,162149,162149
2015-05-02,Available,140%,MANSFIELD OIL COMPANY OF 106305 IW,570729,799021,LOCKPORT IL (MOC) - 00MD,247364,551657,0,0,05/07 00:00:00 CDT,570729,ULSD,Weekly,10,2015-05-02 22:08:15,1274983,2015-05-02 00:00:00,5,2,1141458,570729,1598042,799021,409513,204756
2015-05-03,Available,140%,MANSFIELD OIL COMPANY OF 106305 IW,570729,799021,LOCKPORT IL (MOC) - 00MD,327784,471237,0,0,05/07 00:00:00 CDT,570729,ULSD,Weekly,10,2015-05-03 22:08:28,1312033,2015-05-03 00:00:00,5,3,1712187,570729,2397063,799021,737297,245765
2015-05-04,Available,140%,MANSFIELD OIL COMPANY OF 106305 IW,570729,799021,LOCKPORT IL (MOC) - 00MD,457986,341035,0,0,05/07 00:00:00 CDT,570729,ULSD,Weekly,10,2015-05-04 22:08:27,1350416,2015-05-04 00:00:00,5,4,2282916,570729,3196084,799021,1195283,298820
2015-05-05,Available,140%,MANSFIELD OIL COMPANY OF 106305 IW,570729,799021,LOCKPORT IL (MOC) - 00MD,549211,249810,0,0,05/07 00:00:00 CDT,570729,ULSD,Weekly,10,2015-05-05 22:08:31,1388585,2015-05-05 00:00:00,5,5,2853645,570729,3995105,799021,1744494,348898
2015-05-06,Available,140%,MANSFIELD OIL COMPANY OF 106305 IW,570729,799021,LOCKPORT IL (MOC) - 00MD,648356,150665,0,0,05/07 00:00:00 CDT,570729,ULSD,Weekly,10,2015-05-06 22:08:29,1431210,2015-05-06 00:00:00,5,6,3424374,570729,4794126,799021,2392850,398808
2015-05-07,Available,140%,MANSFIELD OIL COMPANY OF 106305 IW,570729,799021,LOCKPORT IL (MOC) - 00MD,82098,716923,0,0,05/14 00:00:00 CDT,570729,ULSD,Weekly,10,2015-05-07 22:08:24,1471358,2015-05-07 00:00:00,5,7,3995103,570729,5593147,799021,2474948,353564
2015-05-08,Available,140%,MANSFIELD OIL COMPANY OF 106305 IW,570729,799021,LOCKPORT IL (MOC) - 00MD,144906,654115,0,0,05/14 00:00:00 CDT,570729,ULSD,Weekly,10,2015-05-08 22:07:29,1511231,2015-05-08 00:00:00,5,8,4565832,570729,6392168,799021,2619854,327481
2015-05-09,Available,140%,MANSFIELD OIL COMPANY OF 106305 IW,570729,799021,LOCKPORT IL (MOC) - 00MD,226850,572171,0,0,05/14 00:00:00 CDT,570729,ULSD,Weekly,12,2015-05-09 22:07:29,1557811,2015-05-09 00:00:00,5,9,5136561,570729,7191189,799021,2846704,316300
2015-05-10,Out,140%,MANSFIELD OIL COMPANY OF 106305 IW,570729,799021,LOCKPORT IL (MOC) - 00MD,364372,434649,0,0,05/14 00:00:00 CDT,570729,ULSD,Weekly,11,2015-05-10 22:07:22,1593274,2015-05-10 00:00:00,5,10,5707290,570729,7990210,799021,3211076,321107
2015-05-11,Available,140%,MANSFIELD OIL COMPANY OF 106305 IW,570729,799021,LOCKPORT IL (MOC) - 00MD,426775,372246,0,0,05/14 00:00:00 CDT,570729,ULSD,Weekly,10,2015-05-11 22:07:19,1633164,2015-05-11 00:00:00,5,11,6278019,570729,8789231,799021,3637851,330713
