,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Limited,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,50323,55355,HARTFORD IL PSX CLLC - 0394,52700,2655,,,05/02 00:00:00 CDT,,B11,Daily,11,2015-05-01 22:01:06,1234521,2015-05-01 00:00:00,5,1,50323,50323,55355,55355,52700,52700
2015-05-02,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,50323,55355,HARTFORD IL PSX CLLC - 0394,22502,32853,,,05/03 00:00:00 CDT,,B11,Daily,10,2015-05-02 22:01:05,1273251,2015-05-02 00:00:00,5,2,100646,50323,110710,55355,75202,37601
2015-05-03,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,50323,55355,HARTFORD IL PSX CLLC - 0394,37596,17759,,,05/04 00:00:00 CDT,,B11,Daily,10,2015-05-03 22:01:08,1310213,2015-05-03 00:00:00,5,3,150969,50323,166065,55355,112798,37599
2015-05-04,Available,125%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,50323,62904,HARTFORD IL PSX CLLC - 0394,29717,33187,,,05/05 00:00:00 CDT,,B11,Daily,10,2015-05-04 22:01:07,1348714,2015-05-04 00:00:00,5,4,201292,50323,228969,57242,142515,35628
2015-05-05,Out,125%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,50323,62904,HARTFORD IL PSX CLLC - 0394,67075,-4171,,,05/06 00:00:00 CDT,,B11,Daily,10,2015-05-05 22:01:06,1386793,2015-05-05 00:00:00,5,5,251615,50323,291873,58374,209590,41918
2015-05-06,Out,125%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,50323,62904,HARTFORD IL PSX CLLC - 0394,67521,-4617,,,05/07 00:00:00 CDT,,B11,Daily,10,2015-05-06 22:01:04,1429483,2015-05-06 00:00:00,5,6,301938,50323,354777,59129,277111,46185
2015-05-07,Limited,125%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,50323,62904,HARTFORD IL PSX CLLC - 0394,52324,10580,,,05/08 00:00:00 CDT,,B11,Daily,10,2015-05-07 22:01:12,1469633,2015-05-07 00:00:00,5,7,352261,50323,417681,59668,329435,47062
2015-05-08,Limited,125%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,50323,62904,HARTFORD IL PSX CLLC - 0394,60018,2886,,,05/09 00:00:00 CDT,,B11,Daily,10,2015-05-08 22:00:09,1509407,2015-05-08 00:00:00,5,8,402584,50323,480585,60073,389453,48681
2015-05-09,Available,125%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,50323,62904,HARTFORD IL PSX CLLC - 0394,29998,32906,,,05/10 00:00:00 CDT,,B11,Daily,11,2015-05-09 22:00:09,1555990,2015-05-09 00:00:00,5,9,452907,50323,543489,60387,419451,46605
2015-05-10,Available,125%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,50323,62904,HARTFORD IL PSX CLLC - 0394,30099,32805,,,05/11 00:00:00 CDT,,B11,Daily,10,2015-05-10 22:00:07,1591464,2015-05-10 00:00:00,5,10,503230,50323,606393,60639,449550,44955
