,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,420000,420000,ALBUQUERQUE NM PSX - 030A,7512,412488,,,06/01 00:00:00 MDT,,DISTILLATES,Monthly,11,2015-05-01 22:01:06,1234368,2015-05-01 00:00:00,5,1,420000,420000,420000,420000,7512,7512
2015-05-02,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,420000,420000,ALBUQUERQUE NM PSX - 030A,14615,405385,,,06/01 00:00:00 MDT,,DISTILLATES,Monthly,10,2015-05-02 22:01:05,1273098,2015-05-02 00:00:00,5,2,840000,420000,840000,420000,22127,11063
2015-05-03,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,420000,420000,ALBUQUERQUE NM PSX - 030A,14615,405385,,,06/01 00:00:00 MDT,,DISTILLATES,Monthly,10,2015-05-03 22:01:08,1310060,2015-05-03 00:00:00,5,3,1260000,420000,1260000,420000,36742,12247
2015-05-04,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,420000,420000,ALBUQUERQUE NM PSX - 030A,67710,352290,,,06/01 00:00:00 MDT,,DISTILLATES,Monthly,10,2015-05-04 22:01:07,1348561,2015-05-04 00:00:00,5,4,1680000,420000,1680000,420000,104452,26113
2015-05-05,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,420000,420000,ALBUQUERQUE NM PSX - 030A,75210,344790,,,06/01 00:00:00 MDT,,DISTILLATES,Monthly,10,2015-05-05 22:01:06,1386640,2015-05-05 00:00:00,5,5,2100000,420000,2100000,420000,179662,35932
2015-05-06,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,420000,420000,ALBUQUERQUE NM PSX - 030A,97326,322674,,,06/01 00:00:00 MDT,,DISTILLATES,Monthly,10,2015-05-06 22:01:04,1429330,2015-05-06 00:00:00,5,6,2520000,420000,2520000,420000,276988,46164
2015-05-07,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,420000,420000,ALBUQUERQUE NM PSX - 030A,127625,292375,,,06/01 00:00:00 MDT,,DISTILLATES,Monthly,10,2015-05-07 22:01:12,1469480,2015-05-07 00:00:00,5,7,2940000,420000,2940000,420000,404613,57801
2015-05-08,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,420000,420000,ALBUQUERQUE NM PSX - 030A,136619,283381,,,06/01 00:00:00 MDT,,DISTILLATES,Monthly,10,2015-05-08 22:00:09,1509250,2015-05-08 00:00:00,5,8,3360000,420000,3360000,420000,541232,67654
2015-05-09,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,420000,420000,ALBUQUERQUE NM PSX - 030A,143724,276276,,,06/01 00:00:00 MDT,,DISTILLATES,Monthly,11,2015-05-09 22:00:09,1555833,2015-05-09 00:00:00,5,9,3780000,420000,3780000,420000,684956,76106
2015-05-10,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,420000,420000,ALBUQUERQUE NM PSX - 030A,143724,276276,,,06/01 00:00:00 MDT,,DISTILLATES,Monthly,10,2015-05-10 22:00:07,1591307,2015-05-10 00:00:00,5,10,4200000,420000,4200000,420000,828680,82868
