,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,52700,1663300,,,06/01 00:00:00 CDT,,B11,Monthly,11,2015-05-01 22:01:06,1234523,2015-05-01 00:00:00,5,1,1560000,1560000,1716000,1716000,52700,52700
2015-05-02,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,82802,1633198,,,06/01 00:00:00 CDT,,B11,Monthly,10,2015-05-02 22:01:05,1273253,2015-05-02 00:00:00,5,2,3120000,1560000,3432000,1716000,135502,67751
2015-05-03,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,120398,1595602,,,06/01 00:00:00 CDT,,B11,Monthly,10,2015-05-03 22:01:08,1310215,2015-05-03 00:00:00,5,3,4680000,1560000,5148000,1716000,255900,85300
2015-05-04,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,157715,1558285,,,06/01 00:00:00 CDT,,B11,Monthly,10,2015-05-04 22:01:07,1348716,2015-05-04 00:00:00,5,4,6240000,1560000,6864000,1716000,413615,103403
2015-05-05,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,224790,1491210,,,06/01 00:00:00 CDT,,B11,Monthly,10,2015-05-05 22:01:06,1386795,2015-05-05 00:00:00,5,5,7800000,1560000,8580000,1716000,638405,127681
2015-05-06,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,292311,1423689,,,06/01 00:00:00 CDT,,B11,Monthly,10,2015-05-06 22:01:04,1429485,2015-05-06 00:00:00,5,6,9360000,1560000,10296000,1716000,930716,155119
2015-05-07,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,344635,1371365,,,06/01 00:00:00 CDT,,B11,Monthly,10,2015-05-07 22:01:12,1469635,2015-05-07 00:00:00,5,7,10920000,1560000,12012000,1716000,1275351,182193
2015-05-08,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,419853,1296147,,,06/01 00:00:00 CDT,,B11,Monthly,10,2015-05-08 22:00:09,1509409,2015-05-08 00:00:00,5,8,12480000,1560000,13728000,1716000,1695204,211900
2015-05-09,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,457451,1258549,,,06/01 00:00:00 CDT,,B11,Monthly,11,2015-05-09 22:00:09,1555992,2015-05-09 00:00:00,5,9,14040000,1560000,15444000,1716000,2152655,239183
2015-05-10,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,495150,1220850,,,06/01 00:00:00 CDT,,B11,Monthly,10,2015-05-10 22:00:07,1591466,2015-05-10 00:00:00,5,10,15600000,1560000,17160000,1716000,2647805,264780
2015-05-11,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,525452,1190548,,,06/01 00:00:00 CDT,,B11,Monthly,10,2015-05-11 22:00:09,1631350,2015-05-11 00:00:00,5,11,17160000,1560000,18876000,1716000,3173257,288477
2015-05-12,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,1560000,1716000,HARTFORD IL PSX CLLC - 0394,585378,1130622,,,06/01 00:00:00 CDT,,B11,Monthly,10,2015-05-12 22:00:10,1670617,2015-05-12 00:00:00,5,12,18720000,1560000,20592000,1716000,3758635,313219
