,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,94839,94839,ALBUQUERQUE NM PSX - 030A,33145,61694,,,05/06 00:00:00 MDT,,DISTILLATES,Weekly,11,2015-05-01 22:01:06,1234367,2015-05-01 00:00:00,5,1,94839,94839,94839,94839,33145,33145
2015-05-02,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,94839,94839,ALBUQUERQUE NM PSX - 030A,40248,54591,,,05/06 00:00:00 MDT,,DISTILLATES,Weekly,10,2015-05-02 22:01:05,1273097,2015-05-02 00:00:00,5,2,189678,94839,189678,94839,73393,36696
2015-05-03,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,94839,94839,ALBUQUERQUE NM PSX - 030A,40248,54591,,,05/06 00:00:00 MDT,,DISTILLATES,Weekly,10,2015-05-03 22:01:08,1310059,2015-05-03 00:00:00,5,3,284517,94839,284517,94839,113641,37880
2015-05-04,Limited,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,94839,94839,ALBUQUERQUE NM PSX - 030A,93343,1496,,,05/06 00:00:00 MDT,,DISTILLATES,Weekly,10,2015-05-04 22:01:07,1348560,2015-05-04 00:00:00,5,4,379356,94839,379356,94839,206984,51746
2015-05-05,Out,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,94839,94839,ALBUQUERQUE NM PSX - 030A,100843,-6004,,,05/06 00:00:00 MDT,,DISTILLATES,Weekly,10,2015-05-05 22:01:06,1386639,2015-05-05 00:00:00,5,5,474195,94839,474195,94839,307827,61565
2015-05-06,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,94839,94839,ALBUQUERQUE NM PSX - 030A,22116,72723,,,05/13 00:00:00 MDT,,DISTILLATES,Weekly,10,2015-05-06 22:01:04,1429329,2015-05-06 00:00:00,5,6,569034,94839,569034,94839,329943,54990
2015-05-07,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,94839,94839,ALBUQUERQUE NM PSX - 030A,52415,42424,,,05/13 00:00:00 MDT,,DISTILLATES,Weekly,10,2015-05-07 22:01:12,1469479,2015-05-07 00:00:00,5,7,663873,94839,663873,94839,382358,54622
2015-05-08,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,94839,94839,ALBUQUERQUE NM PSX - 030A,61409,33430,,,05/13 00:00:00 MDT,,DISTILLATES,Weekly,10,2015-05-08 22:00:09,1509249,2015-05-08 00:00:00,5,8,758712,94839,758712,94839,443767,55470
2015-05-09,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,94839,94839,ALBUQUERQUE NM PSX - 030A,68514,26325,,,05/13 00:00:00 MDT,,DISTILLATES,Weekly,11,2015-05-09 22:00:09,1555832,2015-05-09 00:00:00,5,9,853551,94839,853551,94839,512281,56920
2015-05-10,Available,100%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,94839,94839,ALBUQUERQUE NM PSX - 030A,68514,26325,,,05/13 00:00:00 MDT,,DISTILLATES,Weekly,10,2015-05-10 22:00:07,1591306,2015-05-10 00:00:00,5,10,948390,94839,948390,94839,580795,58079
