,enallocationstatus,percentage_allocation,account_type,base_gallons,beginning_gallons,terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,rid,date,Month,Day,cum_base_gallons,avg_base_perday,cum_beginning_gallons,avg_beginning_perday,cum_lifted_gallons,avg_lifted_perday
2015-05-01,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,142107,245377,,,05/06 00:00:00 CDT,,B11,Weekly,11,2015-05-01 22:01:06,1234522,2015-05-01 00:00:00,5,1,352258,352258,387484,387484,142107,142107
2015-05-02,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,172209,215275,,,05/06 00:00:00 CDT,,B11,Weekly,10,2015-05-02 22:01:05,1273252,2015-05-02 00:00:00,5,2,704516,352258,774968,387484,314316,157158
2015-05-03,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,209805,177679,,,05/06 00:00:00 CDT,,B11,Weekly,10,2015-05-03 22:01:08,1310214,2015-05-03 00:00:00,5,3,1056774,352258,1162452,387484,524121,174707
2015-05-04,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,247122,140362,,,05/06 00:00:00 CDT,,B11,Weekly,10,2015-05-04 22:01:07,1348715,2015-05-04 00:00:00,5,4,1409032,352258,1549936,387484,771243,192810
2015-05-05,Limited,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,314197,73287,,,05/06 00:00:00 CDT,,B11,Weekly,10,2015-05-05 22:01:06,1386794,2015-05-05 00:00:00,5,5,1761290,352258,1937420,387484,1085440,217088
2015-05-06,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,67521,319963,,,05/13 00:00:00 CDT,,B11,Weekly,10,2015-05-06 22:01:04,1429484,2015-05-06 00:00:00,5,6,2113548,352258,2324904,387484,1152961,192160
2015-05-07,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,119845,267639,,,05/13 00:00:00 CDT,,B11,Weekly,10,2015-05-07 22:01:12,1469634,2015-05-07 00:00:00,5,7,2465806,352258,2712388,387484,1272806,181829
2015-05-08,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,195063,192421,,,05/13 00:00:00 CDT,,B11,Weekly,10,2015-05-08 22:00:09,1509408,2015-05-08 00:00:00,5,8,2818064,352258,3099872,387484,1467869,183483
2015-05-09,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,232661,154823,,,05/13 00:00:00 CDT,,B11,Weekly,11,2015-05-09 22:00:09,1555991,2015-05-09 00:00:00,5,9,3170322,352258,3487356,387484,1700530,188947
2015-05-10,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,270360,117124,,,05/13 00:00:00 CDT,,B11,Weekly,10,2015-05-10 22:00:07,1591465,2015-05-10 00:00:00,5,10,3522580,352258,3874840,387484,1970890,197089
2015-05-11,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,300662,86822,,,05/13 00:00:00 CDT,,B11,Weekly,10,2015-05-11 22:00:09,1631349,2015-05-11 00:00:00,5,11,3874838,352258,4262324,387484,2271552,206504
2015-05-12,Limited,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,360588,26896,,,05/13 00:00:00 CDT,,B11,Weekly,10,2015-05-12 22:00:10,1670616,2015-05-12 00:00:00,5,12,4227096,352258,4649808,387484,2632140,219345
2015-05-13,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,52700,334784,,,05/20 00:00:00 CDT,,B11,Weekly,10,2015-05-13 22:00:06,1712596,2015-05-13 00:00:00,5,13,4579354,352258,5037292,387484,2684840,206526
2015-05-14,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,97600,289884,,,05/20 00:00:00 CDT,,B11,Weekly,10,2015-05-14 22:00:10,1751480,2015-05-14 00:00:00,5,14,4931612,352258,5424776,387484,2782440,198745
2015-05-15,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,165101,222383,,,05/20 00:00:00 CDT,,B11,Weekly,10,2015-05-15 22:00:09,1787726,2015-05-15 00:00:00,5,15,5283870,352258,5812260,387484,2947541,196502
2015-05-16,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,180301,207183,,,05/20 00:00:00 CDT,,B11,Weekly,10,2015-05-16 22:00:11,1827035,2015-05-16 00:00:00,5,16,5636128,352258,6199744,387484,3127842,195490
2015-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970-01-01 00:00:00,0,2015-05-17 00:00:00,5,17,5636128,331536,6199744,364690,3127842,183990
2015-05-18,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,277596,109888,,,05/20 00:00:00 CDT,,B11,Weekly,8,2015-05-18 22:02:01,1898904,2015-05-18 00:00:00,5,18,5988386,332688,6587228,365957,3405438,189191
2015-05-19,Limited,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,314895,72589,,,05/20 00:00:00 CDT,,B11,Weekly,10,2015-05-19 22:00:10,1938751,2015-05-19 00:00:00,5,19,6340644,333718,6974712,367090,3720333,195807
2015-05-20,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,67516,319968,,,05/27 00:00:00 CDT,,B11,Weekly,11,2015-05-20 22:00:11,1980729,2015-05-20 00:00:00,5,20,6692902,334645,7362196,368109,3787849,189392
2015-05-21,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,134814,252670,,,05/27 00:00:00 CDT,,B11,Weekly,10,2015-05-21 22:00:08,2023811,2015-05-21 00:00:00,5,21,7045160,335483,7749680,369032,3922663,186793
2015-05-22,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,165016,222468,,,05/27 00:00:00 CDT,,B11,Weekly,10,2015-05-22 22:00:06,2063627,2015-05-22 00:00:00,5,22,7397418,336246,8137164,369871,4087679,185803
2015-05-23,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,210313,177171,,,05/27 00:00:00 CDT,,B11,Weekly,10,2015-05-23 22:00:07,2102401,2015-05-23 00:00:00,5,23,7749676,336942,8524648,370636,4297992,186869
2015-05-24,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,240712,146772,,,05/27 00:00:00 CDT,,B11,Weekly,10,2015-05-24 22:00:07,2138257,2015-05-24 00:00:00,5,24,8101934,337580,8912132,371338,4538704,189112
2015-05-25,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,293412,94072,,,05/27 00:00:00 CDT,,B11,Weekly,10,2015-05-25 22:00:09,2177244,2015-05-25 00:00:00,5,25,8454192,338167,9299616,371984,4832116,193284
2015-05-26,Limited,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,323411,64073,,,05/27 00:00:00 CDT,,B11,Weekly,10,2015-05-26 22:00:10,2216778,2015-05-26 00:00:00,5,26,8806450,338709,9687100,372580,5155527,198289
2015-05-27,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,29005,358479,,,06/03 00:00:00 CDT,,B11,Weekly,10,2015-05-27 22:00:08,2255685,2015-05-27 00:00:00,5,27,9158708,339211,10074584,373132,5184532,192019
2015-05-28,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,102968,284516,,,06/03 00:00:00 CDT,,B11,Weekly,10,2015-05-28 22:01:06,2293152,2015-05-28 00:00:00,5,28,9510966,339677,10462068,373645,5287500,188839
2015-05-29,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,132866,254618,,,06/03 00:00:00 CDT,,B11,Weekly,10,2015-05-29 22:01:09,2332391,2015-05-29 00:00:00,5,29,9863224,340111,10849552,374122,5420366,186909
2015-05-30,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,170313,217171,,,06/03 00:00:00 CDT,,B11,Weekly,9,2015-05-30 22:01:07,2370633,2015-05-30 00:00:00,5,30,10215482,340516,11237036,374567,5590679,186355
2015-05-31,Available,110%,MANSFIELD OIL CO OF GAINESVILL-10003000UB,352258,387484,HARTFORD IL PSX CLLC - 0394,208313,179171,,,06/03 00:00:00 CDT,,B11,Weekly,10,2015-05-31 22:01:05,2406906,2015-05-31 00:00:00,5,31,10567740,340894,11624520,374984,5798992,187064
