terminal_longaxxiscode,terminal_longname,supplier_name,Product_Code,Net Price,PriceEffectiveDateTime,shipto_name,Distance,Freight Charge,Total Cost,"Freight for 7,500G","Net Price for 7,500G","Total Cost for 7,500G",product_type
PRYVLE,Baltimore Generic,SOUTHSIDE,NO2ULS,2.2703,17-06-2015 00:01,Pilot 1,135.91,0.0664,2.3367,498,17027.25,17525.25,ULSD
PRYVLE,Baltimore Generic,SOUTHSIDE,NO2ULS,2.2703,17-06-2015 00:01,Pilot 2,287.75,0.1271,2.3974,953.25,17027.25,17980.5,ULSD
PRYVLE,Baltimore Generic,SOUTHSIDE,NO2ULS,2.2703,17-06-2015 00:01,Pilot 3,259,0.1156,2.3859,867,17027.25,17894.25,ULSD
PRYVLE,Baltimore Generic,SOUTHSIDE,NO2ULS,2.2703,17-06-2015 00:01,Pilot 4,329.48,0.1438,2.4141,1078.5,17027.25,18105.75,ULSD
PRYVLE,Baltimore Generic,SOUTHSIDE,NO2ULS,2.2703,17-06-2015 00:01,Pilot 6,272.7,0.1211,2.3914,908.25,17027.25,17935.5,ULSD
PRYVLE,Baltimore Generic,SOUTHSIDE,NO2ULS,2.2703,17-06-2015 00:01,Pilot 8,342.98,0.1492,2.4195,1119,17027.25,18146.25,ULSD
PRYVLE,Baltimore Generic,SOUTHSIDE,NO2ULS,2.2703,17-06-2015 00:01,Pilot 9,414.38,0.1778,2.4481,1333.5,17027.25,18360.75,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B20UL,1.856,17-06-2015 00:01,Pilot 1,368.37,0.1593,2.0153,1194.75,13920,15114.75,ULSD
GNSBAP,Apex Oil Company,APEX OIL,NO2ULS,1.8775,17-06-2015 00:01,Pilot 1,368.37,0.1593,2.0368,1194.75,14081.25,15276,ULSD
GNSBAP,Apex Oil Company,APEX OIL,N2B5UL,1.8725,17-06-2015 00:01,Pilot 1,368.37,0.1593,2.0318,1194.75,14043.75,15238.5,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B10UL,1.867,17-06-2015 00:01,Pilot 1,368.37,0.1593,2.0263,1194.75,14002.5,15197.25,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B20UL,1.856,17-06-2015 00:01,Pilot 2,399.74,0.1719,2.0279,1289.25,13920,15209.25,ULSD
GNSBAP,Apex Oil Company,APEX OIL,NO2ULS,1.8775,17-06-2015 00:01,Pilot 2,399.74,0.1719,2.0494,1289.25,14081.25,15370.5,ULSD
GNSBAP,Apex Oil Company,APEX OIL,N2B5UL,1.8725,17-06-2015 00:01,Pilot 2,399.74,0.1719,2.0444,1289.25,14043.75,15333,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B10UL,1.867,17-06-2015 00:01,Pilot 2,399.74,0.1719,2.0389,1289.25,14002.5,15291.75,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B20UL,1.856,17-06-2015 00:01,Pilot 3,353.92,0.1536,2.0096,1152,13920,15072,ULSD
GNSBAP,Apex Oil Company,APEX OIL,NO2ULS,1.8775,17-06-2015 00:01,Pilot 3,353.92,0.1536,2.0311,1152,14081.25,15233.25,ULSD
GNSBAP,Apex Oil Company,APEX OIL,N2B5UL,1.8725,17-06-2015 00:01,Pilot 3,353.92,0.1536,2.0261,1152,14043.75,15195.75,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B10UL,1.867,17-06-2015 00:01,Pilot 3,353.92,0.1536,2.0206,1152,14002.5,15154.5,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B20UL,1.856,17-06-2015 00:01,Pilot 4,391.76,0.1687,2.0247,1265.25,13920,15185.25,ULSD
GNSBAP,Apex Oil Company,APEX OIL,NO2ULS,1.8775,17-06-2015 00:01,Pilot 4,391.76,0.1687,2.0462,1265.25,14081.25,15346.5,ULSD
GNSBAP,Apex Oil Company,APEX OIL,N2B5UL,1.8725,17-06-2015 00:01,Pilot 4,391.76,0.1687,2.0412,1265.25,14043.75,15309,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B10UL,1.867,17-06-2015 00:01,Pilot 4,391.76,0.1687,2.0357,1265.25,14002.5,15267.75,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B20UL,1.856,17-06-2015 00:01,Pilot 6,286.9,0.1268,1.9828,951,13920,14871,ULSD
GNSBAP,Apex Oil Company,APEX OIL,NO2ULS,1.8775,17-06-2015 00:01,Pilot 6,286.9,0.1268,2.0043,951,14081.25,15032.25,ULSD
GNSBAP,Apex Oil Company,APEX OIL,N2B5UL,1.8725,17-06-2015 00:01,Pilot 6,286.9,0.1268,1.9993,951,14043.75,14994.75,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B10UL,1.867,17-06-2015 00:01,Pilot 6,286.9,0.1268,1.9938,951,14002.5,14953.5,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B20UL,1.856,17-06-2015 00:01,Pilot 8,293.49,0.1294,1.9854,970.5,13920,14890.5,ULSD
GNSBAP,Apex Oil Company,APEX OIL,NO2ULS,1.8775,17-06-2015 00:01,Pilot 8,293.49,0.1294,2.0069,970.5,14081.25,15051.75,ULSD
GNSBAP,Apex Oil Company,APEX OIL,N2B5UL,1.8725,17-06-2015 00:01,Pilot 8,293.49,0.1294,2.0019,970.5,14043.75,15014.25,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B10UL,1.867,17-06-2015 00:01,Pilot 8,293.49,0.1294,1.9964,970.5,14002.5,14973,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B20UL,1.856,17-06-2015 00:01,Pilot 9,339.6,0.1478,2.0038,1108.5,13920,15028.5,ULSD
GNSBAP,Apex Oil Company,APEX OIL,NO2ULS,1.8775,17-06-2015 00:01,Pilot 9,339.6,0.1478,2.0253,1108.5,14081.25,15189.75,ULSD
GNSBAP,Apex Oil Company,APEX OIL,N2B5UL,1.8725,17-06-2015 00:01,Pilot 9,339.6,0.1478,2.0203,1108.5,14043.75,15152.25,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B10UL,1.867,17-06-2015 00:01,Pilot 9,339.6,0.1478,2.0148,1108.5,14002.5,15111,ULSD
WLMGAP,Apex Oil Company,APEX OIL,NO2ULS,1.985,17-06-2015 00:01,Pilot 1,476.28,0.2025,2.1875,1518.75,14887.5,16406.25,ULSD
WLMGAP,Apex Oil Company,APEX OIL,NO2ULS,1.985,17-06-2015 00:01,Pilot 2,551.26,0.2325,2.2175,1743.75,14887.5,16631.25,ULSD
WLMGAP,Apex Oil Company,APEX OIL,NO2ULS,1.985,17-06-2015 00:01,Pilot 3,506.55,0.2146,2.1996,1609.5,14887.5,16497,ULSD
WLMGAP,Apex Oil Company,APEX OIL,NO2ULS,1.985,17-06-2015 00:01,Pilot 4,553.55,0.2334,2.2184,1750.5,14887.5,16638,ULSD
WLMGAP,Apex Oil Company,APEX OIL,NO2ULS,1.985,17-06-2015 00:01,Pilot 6,450.84,0.1923,2.1773,1442.25,14887.5,16329.75,ULSD
WLMGAP,Apex Oil Company,APEX OIL,NO2ULS,1.985,17-06-2015 00:01,Pilot 8,465.35,0.1981,2.1831,1485.75,14887.5,16373.25,ULSD
WLMGAP,Apex Oil Company,APEX OIL,NO2ULS,1.985,17-06-2015 00:01,Pilot 9,512.29,0.2169,2.2019,1626.75,14887.5,16514.25,ULSD
GNSBAP,Apex Oil Company,APEX OIL,2B20UL,1.896,17-06-2015 09:30,Pilot 1,368.37,0.1593,2.0553,1194.75,14220,15414.75,ULSD
GNSBAP,Apex Oil Company,APEX OIL,NO2ULS,1.9175,17-06-2015 09:30,Pilot 1,368.37,0.1593,2.0768,1194.75,14381.25,15576,ULSD
