,alerts_ratability,en_allocation_status,percentage_allocation,account_type,base_gallons,beginning_gallons,supplier_terminal_name,lifted_gallons,remaining_gallons,additional_gallons_allowed,additional_gallons_remaining,next_refresh_date,next_refresh_base_gallons,product_name,period,batchno,execution_date,staging_id,date
0,Above Trend,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,1200,-258,0,0,07/01 00:00:00 CDT,628,Prem CG DS,Daily,7,2015-06-30 23:47:31,476538,2015-06-30
1,On Track,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,6000,150,0,0,07/02 00:00:00 CDT,2534,Prem CG DS,Weekly,7,2015-06-30 23:47:31,476539,2015-06-30
2,Above Trend,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,9017,13526,BATON ROUGE LA (MOC) - 00CE,16801,-3276,0,0,07/01 00:00:00 CDT,9017,Reg CG DS,Daily,7,2015-06-30 23:47:31,476540,2015-06-30
3,On Track,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,63120,88368,BATON ROUGE LA (MOC) - 00CE,89302,-934,0,0,07/02 00:00:00 CDT,57874,Reg CG DS,Weekly,7,2015-06-30 23:47:31,476541,2015-06-30
4,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,31807,47711,BATON ROUGE LA (MOC) - 00CE,30900,16811,0,0,07/01 00:00:00 CDT,31807,ULSD,Daily,7,2015-06-30 23:47:31,476542,2015-06-30
5,On Track,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,222650,311710,BATON ROUGE LA (MOC) - 00CE,221907,89803,0,0,07/02 00:00:00 CDT,169680,ULSD,Weekly,7,2015-06-30 23:47:31,476543,2015-06-30
6,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,1642,2463,COLTON CA KM TP - 00WM,1003,1460,0,0,07/01 00:00:00 PDT,1642,Premium Conventional / E10,Daily,7,2015-06-30 23:47:31,476544,2015-06-30
7,On Track,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,17864,25010,COLTON CA KM TP - 00WM,18705,6305,0,0,07/02 00:00:00 PDT,11491,Premium Conventional / E10,Weekly,7,2015-06-30 23:47:31,476545,2015-06-30
8,On Track,Out,125%,PILOT TRAVEL CENTERS LLC 103637 IW,6895,8619,COLTON CA KM TP - 00WM,7303,1316,0,0,07/01 00:00:00 PDT,6895,Regular RFG,Daily,7,2015-06-30 23:47:31,476546,2015-06-30
9,On Track,Out,110%,PILOT TRAVEL CENTERS LLC 103637 IW,86846,95531,COLTON CA KM TP - 00WM,96018,-487,0,0,07/02 00:00:00 PDT,48264,Regular RFG,Weekly,7,2015-06-30 23:47:31,476547,2015-06-30
10,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,20530,30795,DES PLAINES IL (MOC) - 00BN,14894,15901,0,0,07/01 00:00:00 CDT,20530,ULSD,Daily,7,2015-06-30 23:47:31,476548,2015-06-30
11,On Track,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,86404,120966,DES PLAINES IL (MOC) - 00BN,111775,16641,0,0,07/02 00:00:00 CDT,143704,ULSD,Weekly,7,2015-06-30 23:47:31,476549,2015-06-30
12,Below Trend,Available,999%,PILOT TRAVEL CENTERS LLC 103637 IW,760375,7596146,GLENDIVE MT CENEX EX - 02PT,623196,6972950,0,0,07/01 00:00:00 MDT,535421,ULSD,Monthly,7,2015-06-30 23:47:31,476550,2015-06-30
13,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,5181,7772,HAMMOND IN (MOC) - 00DH,800,6972,0,0,07/01 00:00:00 EDT,5181,Prem RFG,Daily,7,2015-06-30 23:47:31,476551,2015-06-30
14,Below Trend,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,33982,47575,HAMMOND IN (MOC) - 00DH,23106,24469,0,0,07/02 00:00:00 EDT,36265,Prem RFG,Weekly,7,2015-06-30 23:47:31,476552,2015-06-30
15,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,42979,64469,HAMMOND IN (MOC) - 00DH,24500,39969,0,0,07/01 00:00:00 EDT,42979,Reg RFG,Daily,7,2015-06-30 23:47:31,476553,2015-06-30
16,Below Trend,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,313203,438484,HAMMOND IN (MOC) - 00DH,264648,173836,0,0,07/02 00:00:00 EDT,300852,Reg RFG,Weekly,7,2015-06-30 23:47:31,476554,2015-06-30
17,On Track,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,352781,529172,HAMMOND IN (MOC) - 00DH,546550,-17379,0,0,07/01 00:00:00 EDT,352781,ULSD,Daily,7,2015-06-30 23:47:31,476555,2015-06-30
18,Below Trend,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,3017363,4224308,HAMMOND IN (MOC) - 00DH,2389202,1835106,0,0,07/02 00:00:00 EDT,2469465,ULSD,Weekly,7,2015-06-30 23:47:31,476556,2015-06-30
19,On Track,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,52671,79007,LOCKPORT IL (MOC) - 00MD,67308,11699,0,0,07/01 00:00:00 CDT,52671,ULSD,Daily,7,2015-06-30 23:47:31,476557,2015-06-30
20,Below Trend,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,411490,576086,LOCKPORT IL (MOC) - 00MD,320608,255478,0,0,07/02 00:00:00 CDT,368697,ULSD,Weekly,7,2015-06-30 23:47:31,476558,2015-06-30
21,Above Trend,Out,100%,PILOT TRAVEL CENTERS LLC 103637 IW,3949,3949,MEMPHIS TN (MOC) - 00QE,4650,-701,0,0,07/01 00:00:00 CDT,3949,Prem CBOB,Daily,7,2015-06-30 23:47:31,476559,2015-06-30
22,Below Trend,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,688,1032,MEMPHIS TN (MOC) - 00QE,0,1032,0,0,07/01 00:00:00 CDT,688,Prem CBOB<9,Daily,7,2015-06-30 23:47:31,476560,2015-06-30
23,On Track,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,3871,5419,MEMPHIS TN (MOC) - 00QE,5405,14,0,0,07/02 00:00:00 CDT,4810,Prem CBOB<9,Weekly,7,2015-06-30 23:47:31,476561,2015-06-30
24,On Track,Available,150%,PILOT TRAVEL CENTERS LLC 103637 IW,45884,68826,MEMPHIS TN (MOC) - 00QE,54350,14476,0,0,07/01 00:00:00 CDT,45884,Reg CBOB,Daily,7,2015-06-30 23:47:31,476562,2015-06-30
25,On Track,Available,140%,PILOT TRAVEL CENTERS LLC 103637 IW,230962,323347,MEMPHIS TN (MOC) - 00QE,228055,95292,0,0,07/02 00:00:00 CDT,321188,Reg CBOB,Weekly,7,2015-06-30 23:47:31,476563,2015-06-30
26,Below Trend,Available,125%,PILOT TRAVEL CENTERS LLC 103637 IW,5375,6719,MEMPHIS TN (MOC) - 00QE,0,6719,0,0,07/01 00:00:00 CDT,5375,Reg CBOB<9,Daily,7,2015-06-30 23:47:31,476564,2015-06-30
27,Above Trend,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,26442,39663,MEMPHIS TN (MOC) - 00QE,45606,-5943,0,0,07/01 00:00:00 CDT,26442,ULSD,Daily,7,2015-06-30 23:47:31,476565,2015-06-30
28,Below Trend,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,321060,449484,MEMPHIS TN (MOC) - 00QE,213486,235998,0,0,07/02 00:00:00 CDT,185092,ULSD,Weekly,7,2015-06-30 23:47:31,476566,2015-06-30
29,Below Trend,Available,100%,PILOT TRAVEL CENTERS LLC 103637 IW,3507,3507,MEMPHIS TN PREMCOR RP - 00RG,0,3507,0,0,07/01 00:00:00 CDT,3507,Premium Conventional / E10,Daily,7,2015-06-30 23:47:31,476567,2015-06-30
30,Below Trend,Available,100%,PILOT TRAVEL CENTERS LLC 103637 IW,24549,24549,MEMPHIS TN PREMCOR RP - 00RG,0,24549,0,0,07/02 00:00:00 CDT,24549,Premium Conventional / E10,Weekly,7,2015-06-30 23:47:31,476568,2015-06-30
31,Below Trend,Available,100%,PILOT TRAVEL CENTERS LLC 103637 IW,38101,38101,MEMPHIS TN PREMCOR RP - 00RG,0,38101,0,0,07/01 00:00:00 CDT,38101,Regular Conventional / E10,Daily,7,2015-06-30 23:47:31,476569,2015-06-30
32,Below Trend,Available,100%,PILOT TRAVEL CENTERS LLC 103637 IW,266707,266707,MEMPHIS TN PREMCOR RP - 00RG,0,266707,0,0,07/02 00:00:00 CDT,266707,Regular Conventional / E10,Weekly,7,2015-06-30 23:47:31,476570,2015-06-30
33,Below Trend,Available,100%,PILOT TRAVEL CENTERS LLC 103637 IW,45866,45866,MEMPHIS TN PREMCOR RP - 00RG,0,45866,0,0,07/01 00:00:00 CDT,45866,ULSD(G),Daily,7,2015-06-30 23:47:31,476571,2015-06-30
34,Above Trend,Out,100%,PILOT TRAVEL CENTERS LLC 103637 IW,182,182,VERNON CA (MOC) - 00N6,900,-718,0,0,07/01 00:00:00 PDT,182,Prem RFG,Daily,7,2015-06-30 23:47:31,476572,2015-06-30
35,Below Trend,Out,100%,PILOT TRAVEL CENTERS LLC 103637 IW,2576,2576,VERNON CA (MOC) - 00N6,900,1676,0,0,07/02 00:00:00 PDT,1273,Prem RFG,Weekly,7,2015-06-30 23:47:31,476573,2015-06-30
36,Above Trend,Out,100%,PILOT TRAVEL CENTERS LLC 103637 IW,4497,4497,VERNON CA (MOC) - 00N6,7400,-2903,0,0,07/01 00:00:00 PDT,4497,Reg RFG,Daily,7,2015-06-30 23:47:31,476574,2015-06-30
37,Below Trend,Out,100%,PILOT TRAVEL CENTERS LLC 103637 IW,31143,31143,VERNON CA (MOC) - 00N6,15700,15443,0,0,07/02 00:00:00 PDT,31475,Reg RFG,Weekly,7,2015-06-30 23:47:31,476575,2015-06-30
38,Above Trend,Out,150%,PILOT TRAVEL CENTERS LLC 103637 IW,628,942,BATON ROUGE LA (MOC) - 00CE,1200,-258,0,0,06/30 00:00:00 CDT,628,Prem CG DS,Daily,10,2015-06-29 23:47:42,449873,2015-06-29
39,On Track,Out,140%,PILOT TRAVEL CENTERS LLC 103637 IW,4393,6150,BATON ROUGE LA (MOC) - 00CE,4800,1350,0,0,07/02 00:00:00 CDT,2534,Prem CG DS,Weekly,10,2015-06-29 23:47:42,449874,2015-06-29
